pid,text
R_4jkWGYT7ECy8kAR,"I would be quite annoyed that friend A replied so late, and I'll wonder if it was intentional or not. I will ask friend A why she/he didn't reply to my messages before. It wouldn't be a confrontation since I know both will be attending friend B's birthday dinner, and I wouldn't want to risk tension between us, which may ruin the dinner. I'll confront friend B about it in a light-hearted manner, and depending on the truthfulness and apologeticness from his/her response, I'll consider whether I still want to remain close friends with them, or whether it's a stain on their character from my pov. Afterwards, I'll definitely go check the Google reviews myself to confirm if friend A's information is trustworthy or not. After I get my answers, I'll either refute or agree with friend A, and if the information is as she says, I will change plans, and if it isn't, I'll keep the booking. Just to add, realistically, we would tell friend B the plans a few days prior, just to see if she/he approves, as it is friend B's birthday, and it will also inform him/her of prior travel plans."
R_4VJzj3BEMoQSS75,"Hey so that's not really fair, like I get that some google reviews are bad, but you didn't text me back and only now you bring this up? I think we should go, just warn friend B about possible food poisoning, besides, I already paid for a non-refundable deposit and I would hate for it to go to waste. If I didn't have to pay a non-refundable deposit then I'd straight away go to a new restaurant, but you didn't tell me early enough. Truthfully I'd ok with going to another restaurant but i don't know if there would be any spots available since its very late. Also, this restaurant has great reviews from food critics so I think it should be alright, but before I think we should go ask friend B's opinion since it's their birthday. If they want to go to another restaurant then we can go, but I think we should keep the booking for now since the deposit has been paid, we don't have much time until we actually meet up to find another place and there are plenty of good reviews."
R_4EpdmEXYNxaBzKp,"A. I would be shocked and disgusted B. I would we be ""thats so gross but i saw that it had a lot of good reviews and its non non-refundable and I am too broke to book another one"" C. I would trust the ones that say the same thing D. Ill check for other restaurants"
R_4RTXhjjlqGwpjco,"A) I will be surprised as the review list I only saw positive comments about the restaurant. Therefore, my gut reaction would be to find the food poisoning comments. B) I will tell friend A that other restaurants nearby are also already full. And also tell that the restaurant is non-refundable deposit for the booking. However, I will tell friend A that I will check with the comments online to ensure safety when at the restaurant. C) I will check with other websites that have review about the restaurant in order to ensure the comments are correct and not made up. If there are any comments that talk about food poisoning, I will avoid to order that particular food. D) Some extra actions I would take is to only eat light food if there is any cases of food poisoning, therefore, would order cheap and safe food to eat to ensure safety."
R_9nP1v1oCAVi3ZEY,"I'm feeling annoyed that friend A is criticising the restaurant I picked when they didn't try and find an alternative, and especially because they are bringing this up so last minute. I would probably look at the Google reviews myself and see how many and how recent the reviews are that friend A screenshotted. If there were many other similar reviews, I'd probably start looking for an alternative. If there were many reviews, but most were positive and there were very few other similar negative reviews, I would want to still go to the restaurant I picked. I would probably rely on the volume of reviews more than the source, but if there were not many reviews overall, I would weight the food critics reviews as more trustworthy than some random google reviewers. If I decided to start looking for alternatives, I would message friend A straight away saying sure, we can look for a new place, and ask them if they had any ideas? Then I would find and book somewhere new. I'd message friend A later, probably the next day, explaining that I had to pay a deposit for the first restaurant, and ask if they would agree to pay a portion of the lost deposit. In that message I would also tell them that I was feeling frustrated that they didn't help me find a restaurant in the first place, and I was upset that they assumed I would take on the mental load of organising the dinner for our shared friend. My choice to keep the booking or change restaurant would be based on the other reviews on google etc that I had read today. I would feel inclined to keep the booking, almost out of spite that friend A didn't help to begin with, but also because I want to trust my research of good restaurants and I believe I'm pretty good at discerning these things."
R_4qluSYSvHUIOf2k,"A. I would be very angry that the friend who did not help is also deciding 3 hours before that we should not go to the restaurant. B. I would tell them that since it's already been booked we will be going, and that they can choose to join you or not. C. I trust my gut and my instinct as well as the reviews from the food critics. D. See if friend A wants to come or not because we would still be going to the restaurant."
R_9onXY2s2JyVJbhv,"they seem like a jerk for initially ghosting me so i would ignore it, especially if ive done my owj research"
R_4HeSPUC68yjFO8N,"When I read the message from friend A, I felt a mix of frustration and annoyance. First of all, friend A ignored my request for help a month ago, leaving me to handle the restaurant - booking alone. And now, just three hours before dinner, they come up with this concern. I'd immediately reply to friend A, saying, ""It's a bit late to bring this up now. I trusted your help before, but you left me hanging. And the food critics have given this place great reviews."" To judge which information is trustworthy, I know that food critics usually base their reviews on in - depth tastings and research, while the random Google reviews might be one - sided or even false. So, I'd quickly check if there are any official health reports about the restaurant. I also considered calling the restaurant directly to ask about the food - poisoning claim. After making these checks and still finding no solid evidence of the food - poisoning incident, I'd decide to keep the reservation. The reason is that the positive reviews from food critics carry more weight, and it's too late to find another suitable restaurant with most nearby places fully booked."
R_4od1XXDsfRPjEXm,"I would think that the behavior of friend A is not very good. When I made a reservation at a restaurant and paid the non-refundable reservation deposit, friend A didn't reply to me. Instead, three hours before the dinner, he told me that the restaurant I chose had a bad rating because some diners had food poisoning. This made me think that he was deliberately picking a fight with me. I would say to friend A, ""Then why didn't you tell me earlier? I had already paid the non-refundable deposit to this restaurant a month ago, and why did you only point out the problems with this restaurant on B's birthday? Since you didn't spend your money, weren't you concerned about this matter for the entire month?"" I would temporarily believe the food poisoning phenomenon that friend A mentioned and suspect that the food critics had fabricated the evaluation of this restaurant. Then I would go and check the Google reviews of this restaurant by myself. If the food poisoning was true, I would change my plan and cook a dinner for friend B to celebrate his birthday. If it was fake, I would keep the reservation and from now on, I won't have any contact with friend A."
R_46sDFz0luDI3hex,"A. My immediate reaction is annoyance. Friend A should have either 1. read some reviews earlier or 2. responded to my messages and helped me decide on a restaurant to go to. B. I would (as nicely as I could) tell Friend A that they should have read some reviews earlier and actually helped me when deciding on a restaurant. C. It's hard to tell which information is more trustworthy, because on the one hand I don't want to get food poisoning (and the customers may have just been angry and lied in their review), but also food critics critique food as their job, so I would hope that they know what they're talking about. D. I would consult more reviews from other sources (not just Google Reviews) to gain a better understanding of the bigger picture and to see what others are saying. My final choice would be to keep the booking, due to the fact that it would be difficult to find another restaurant at such short notice and it's for a friend's birthday so I wouldn't want to change plans at the last minute and stress them out on their birthday."
R_4s649qip03SoHtv,"Hmm… when I saw the message from Friend A, my first reaction was a mix of frustration and helplessness. I had asked them for help a month ago, but they never replied. Now, just three hours before the dinner, they suddenly show up with a screenshot of some negative Google reviews and say, “Maybe we shouldn’t go...” It feels like they didn’t really care about this gathering or take any responsibility. I might reply to them first, saying something like: “It’s a bit late to bring this up now. I asked for your help earlier and didn’t get any response. I actually researched this restaurant—it has really great reviews from food critics.” I would try to stay calm though, because I don’t want this to affect the mood of the evening. After all, it’s for Friend B’s birthday. As for the screenshot, I wouldn’t fully trust one or two bad reviews. There are always people online who have bad experiences, but I prefer to look at the overall rating, the number of reviews, and expert opinions. I remember this restaurant being recommended by several food blogs and review platforms, and many people praised the service and food quality. To be extra sure, I’d quickly check a few more review sites—like TripAdvisor and Yelp—to see if there are any consistent complaints about food poisoning. If not, and things look generally positive, I’d decide to stick with the reservation. My final decision is to keep the original plan. Here’s why: It’s too close to dinner time, and most nearby restaurants are fully booked. This is Friend B’s birthday, and I don’t want to ruin it with last-minute changes. The restaurant has strong ratings and positive reviews from critics—one bad review isn’t enough to change my mind. I’ve already paid a non-refundable deposit. I’ll arrive early to make sure everything is in order. If there’s anything unusual, I’ll handle it then. What matters most is that Friend B has a great birthday celebration."
R_4n9nWCM2ZXttznb,"I would feel immediately irritated from the message, and honestly from the moment that they ghosted me. Because if we were supposed to plan this birthday together and they weren't helping (in this scenario, completely ghosted me) I would be really pissed since they are putting in zero effort. After I read the message, I would be severely irked but I would still reply cause at least they're putting in effort now... I would read the reviews that she sent and also, if I selected this restaurant it would have been because the reviews are positive and ive seen good stuff so I would tell her the other positive reviews. I would wait to see if she replies to these messages and see what she has to say. But I think I would still keep the booking, because non refundable, and if we all went and the vibe of the restaurant and the food isn't that good then I would suggest that we go to a bar or somewhere else."
R_9PBO2RW2Uhn7yYb,"Maybe I will say, “Thanks for letting me know — I’ll double-check. But most critic reviews have been really good, and I already secured the booking.” I’ll search the restaurant on official review platforms — Yelp, TripAdvisor, maybe even check local news — to see if there are any recent hygiene issues. I’ll also check their social media for any announcements. If I don’t see any consistent reports or official warnings, I’ll trust the critics and stick with the plan. Final choice: Keep the booking."
R_41NjFgMFB7MhGSU,"My first reaction would be frustrated and think why does Friend A bring this up now 3 hours right before the dinner after ghosting me during the planning. I would also feel a bit nervous because the deposit is non-refundable and finding another restaurant last minute is stressful. But, I would just have reply something like ""Hey, I wish you could mentioned this earlier since this deposit is non-refundable. Do you have specific concerns or just nervous about the google review?"" I would check the other social media other than just google review if there are lots of bad reviews around one date or not then it might be isolated incident. I'll go through recent social media tags and see if diners posted about the issue. Last, I'll check if Friend B has any dietary restrictions that could cause the risk. I would keep the booking as Friend A say all this too late and it is a waste of time and money. If Friend A is uncomfortable, I would suggest to join later for drinks or dessert instead."
R_4rCqFmyvttIJsWm,"A. My immediate reaction is panic and likely some type of regret, but also likely disdain for my friend in bringing this up so late for the inconvenience. B. I'd probably go into denial and try to find other reviews, then let them know the deposit is non-refundable, maybe see if they'd be guilted into paying some portion of it for the late response. I'd probably react with shock generally then immediately scramble for a plan b. C. If there is a frequency of reviews then it is almost guaranteed to be true unless highly coordinated. I'd check news sources for this happening as there's a chance it could show up, and also maybe check something like a local subreddit for it. D. I'd honestly cycle through available free choices nearby, like a beach walk, clubbing, home hangout, or just going to a park. In some circumstances, I might immediately deny my friend and maybe sweeten the deal by paying for their food, even eating it and taking them to a different place later just so I can try the restaurant."
R_4Ovi2m6ohfWjyD3,"Are you serious right now bruh? 3 hours before the dinner you decide to respond to my messages. You left me on delivered this whole time while I was planning for the dinner and only decide to pop up now. I've done some research and the place I found has reviews from food critics which say the restaurant is fine. Furthermore, the information that says we could get food poisoning could have really been useful before I paid the deposit for the dinner. We are are keeping the booking."
R_9rvi3VigpT7nmet,Would be annoyed that he has having opinions but not contributing when booking the restaurant. will just ignore him because he was not the one who paid the non refundable deposit. i will trust the positive reviews that i saw myself to make sure friend B is satisfied on his birthday. ultimately i will just keep the booking to not lose money on the deposit and because i believe the restaurant is good.
R_4pDzw3tv0JSJIeL,"seriously? Friend A is only telling me this three hours before dinner? I’m a bit annoyed because they didn’t help at all with the booking and now they’re suddenly concerned. My gut reaction is that this feels like overreacting — the restaurant has good reviews from professional food critics, which I trust more than a few random Google Reviews. People complain online for all sorts of reasons, and sometimes those reviews aren’t even reliable. I’d probably reply to Friend A with something like, “I get your concern, but it’s really last minute, and this place has been highly rated by critics. Are you sure those reviews aren’t just isolated incidents?” To be sure, I’d quickly double-check the restaurant’s latest reviews, maybe scan their social media or any recent news about food safety. If there’s no widespread report of food poisoning, I’ll keep the booking. Final choice: I’ll keep the booking because the critic reviews and lack of recent serious complaints seem more trustworthy, and changing plans now would be stressful and possibly ruin Friend B’s birthday."
R_9qVrcNn6GPJONYR,"In the first place itself I asked for help so that we could decide on a restaurant that suits us all but Friend A did not respond to my texts which is pretty unethical and on top that they are texting me last minute to change the venue, if it were such a problem they should have spoken up sooner when they were clearly and respectfully given the chance. But now I have paid a non-refundable deposit so I would definitely not be keen on changing the venue."
R_4nCAtz7tZUEK7HU,"My immediate reaction would be one of annoyance or irritation, as if friend A helped me one month ago like he was supposed to, we would've had this issue arise earlier where it wouldn't be a big deal. Although I appreciate the gesture to help, it comes too late and also undermines the work I've done to organise this, which friend A was also supposed to help with as well. I would first check how frequently this food poisoning scenario occurred, and if it was just a one off or two time thing I would disregard it and favour the word of the food critics, as I perceive this to be more reliable. To friend A, I wouldn't complain or vocalise my thoughts directly to them, unless this was a problem which has repeatedly occurred or something I've had an issue with for a long time. I may complain about it to one of my closer friends later."
R_9rqxaybI5jjJniN,"Firstly, the evaluation of this restaurant has always been high. Is it true that there have been cases of poisoning among diners on Google, and is it a common occurrence? If so, consider changing the restaurant. If not, from the perspective that the deposit cannot be refunded and the surrounding restaurants are already fully booked, there is no need to change the restaurant. In addition, after booking the restaurant, friend A did not immediately communicate about the situation of their own restaurant. They only expressed their opinions now, which may not be because they have any objections to the restaurant itself, but only because they have their own ideas for this birthday party. Considering multiple factors such as the non refundable deposit, the infrequent occurrence of poisoning incidents among diners, and the lack of suitable restaurants for modification in the surrounding area, it was ultimately decided not to change the restaurant."
R_9dEoPRV5JbfOXpD,"When Friend A suddenly messaged about food poisoning claims at the restaurant, I felt a surge of frustration and suspicion. After being unresponsive for weeks, why raise concerns just three hours before dinner? The timing seemed calculated to create panic rather than solve problems. My immediate reply would be: *""Is this a recent review? The restaurant has excellent critic ratings, and we stand to lose our deposit. Honestly, why wait until the last possible moment to mention this?""* To properly assess the situation, I'd: 1. Thoroughly examine the Google review - checking dates, credibility of the reviewer, and whether others reported similar issues 2. Cross-reference with other review platforms and food blogs 3. Call the restaurant directly to ask about recent health inspections 4. Quickly research backup options, though chances of finding something good last-minute would be slim **Final Decision:** If the negative review appears to be an isolated incident amid overwhelmingly positive feedback, I'd keep the reservation - trusting professional critics' opinions over one questionable online review. The lost deposit would also factor into this decision. However, if I found multiple credible reports of recent health issues, I'd immediately contact Friend B to discuss alternatives, even if it meant paying another deposit elsewhere. Ultimately, I wouldn't let Friend A's eleventh-hour intervention derail plans without concrete evidence, but would prioritize everyone's safety if legitimate concerns emerged."
R_48H5gk6KZzuoe1V,"Oh no! I can't believe this is happening just three hours before dinner. My first gut reaction is fustration- I asked Friend A to help plan this weeks ago, and now they suddenly come up with this warning at the last minute. I'm also worried about the risk: food poisoning is serious, but I also remember this restaurant has excellent reviews from professional food critics. I would probably reply to Friend A riight away:""Thanks for flagging this- let me check quickyly, we can't afford to cancel for no reason."" Then I would try to figure out whether these Google reviews are trustworthy. Are they recent? Do they look genuine or exaggerated? I might also check other review sites like Yelp or TripAdvisor for consistency. Given that we’re so close to the dinner time, I’d probably also call the restaurant directly to ask if they’ve had any health inspection issues recently. After weighing everything, unless there are many recent complaints, I’d keep the booking. The deposit is non-refundable, most restaurants nearby are likely fully booked, and the food critics’ reviews give me confidence. So my final decision would be: keep the reservation but stay cautious, and inform Friend B and the group so they can choose to go or not."
R_9uW0SHafhi4vixt,"When I read Friend A’s message, I felt very annoyed. Why did they wait so long to say something? They didn’t help before, and now they’re making a problem three hours before the dinner. I also felt worried—what if the food poisoning is real? I would text Friend A and say, “Thanks for the info. Why didn’t you tell me earlier?” I’d also ask where they found the reviews and when the bad reviews were posted. To decide if it’s true, I would look at the date of the bad reviews. If they are old, maybe the problem is fixed now. I would also check if many people said the same thing, or just one or two. I might call the restaurant and ask if they had any food safety problems. If they sound honest and confident, I will feel better. In the end, I would keep the booking. The deposit is non-refundable, and the critic reviews are still good. I’ll just be extra careful with what I order."
R_9ncGoQdVn4dUlmm,"Why would you ask this now after I have already booked the restaurant. Like imagine ghosting me for weeks and then saying or well implying that they don't want to eat here cause of what food safety. I can't even make a refund and I'm stressed as it is. Like you didn't even pay or split a deposit for the booking and that irritates me the most. I just assumed that we were busy or making a better plan but all I got was silence. Like I did everything out of my own heart and now you are trying to make me feel guilty. This is so last-minute and it didn't have to be if you could've just contributed even a little. Despite that, the warning about food poisoning does concern me. It might just be those unlucky people, I'll check for any health inspection history as well as how recent those google revies are. I might as well call the restaurant just to be safe and politely ask if there were recent complaints. But honestly the reviews I found from those legit critics wash out the negativity. I rather trust them then some anonymous user. At the end of the day, I want to celebrate Friend B's so I'd honestly keep the booking to save the money I spent."
R_9IYxSYxjx5h2jMM,"I would be upset and confused about the situation, and I would tell Friend A that it should be fine because I had heard a lot of good reviews, and this was Friend B's birthday. I would go with the overall review and I would double check my friends are able to go someone further if they are scared about getting poisoned."
R_9jGQkrcYf5X8zyV,"Hey Friend A, how have you been? I read your message regarding the restaurant booking for tonight. That is crazy that some people have got food poisoning. I conducted my research and found that it had received great reviews from food critics. I asked for your opinion on where you should go, but you didn't say anything. I have already paid a non-refundable deposit for the reservation. What should we do? We stick to the plan and go because most other places are fully booked."
R_4RTYxFTZ4Y0JCgj,"A= my immediate emotional reaction was annoyance. I think they only said that because they didn't like the choice. B= ""Surely if there was actual food poisoning there would be some evidence of it"" C= I'd decide the information was trustworthy based on how recent the ""incident"" was and if all the reviews were posted at the same time. D= I would check to see if the review was vague or not. I would keep the booking because the timing is too convenient and we have already paid a non-refundable deposit."
R_9j0z8JXT8CPjNa9,"Upon reading the abrupt message, I am disappointed and frustrated that Friend A decided to share their concerns with me so late. I would tell Friend A that the restaurant I have reserved is non-refundable and that they should have mentioned their concerns to me sooner. I would double-check on Google and online through the possible reviews Friend A may have seen, and whether the opposing information supports their claims about food poisoning. If I deem it necessary, I would cancel the booking and find a different restaurant to celebrate the birthday."
R_9tx5ryf4EHIGS7l,
R_93ghrbs9UkMfX8J,"Uhhh then what else and wehere else are we going to eat, id say to my friend what are we gonna do now if this is the only place where we can food. When many reviews are on the website and theres is variation and there are different times people have reviewed making it seem more legit. Id look at other restaraunts and see their reviews and yeah."
