pid,Segment_Q1,Segment_Q2,WC_Q1,WC_Q2,Analytic_Q1,Analytic_Q2,Clout_Q1,Clout_Q2,Authentic_Q1,Authentic_Q2,Tone_Q1,Tone_Q2,WPS_Q1,WPS_Q2,BigWords_Q1,BigWords_Q2,Dic_Q1,Dic_Q2,Linguistic_Q1,Linguistic_Q2,function_Q1,function_Q2,pronoun_Q1,pronoun_Q2,ppron_Q1,ppron_Q2,i_Q1,i_Q2,we_Q1,we_Q2,you_Q1,you_Q2,shehe_Q1,shehe_Q2,they_Q1,they_Q2,ipron_Q1,ipron_Q2,det_Q1,det_Q2,article_Q1,article_Q2,number_Q1,number_Q2,prep_Q1,prep_Q2,auxverb_Q1,auxverb_Q2,adverb_Q1,adverb_Q2,conj_Q1,conj_Q2,negate_Q1,negate_Q2,verb_Q1,verb_Q2,adj_Q1,adj_Q2,quantity_Q1,quantity_Q2,Drives_Q1,Drives_Q2,affiliation_Q1,affiliation_Q2,achieve_Q1,achieve_Q2,power_Q1,power_Q2,Cognition_Q1,Cognition_Q2,allnone_Q1,allnone_Q2,cogproc_Q1,cogproc_Q2,insight_Q1,insight_Q2,cause_Q1,cause_Q2,discrep_Q1,discrep_Q2,tentat_Q1,tentat_Q2,certitude_Q1,certitude_Q2,differ_Q1,differ_Q2,memory_Q1,memory_Q2,Affect_Q1,Affect_Q2,tone_pos_Q1,tone_pos_Q2,tone_neg_Q1,tone_neg_Q2,emotion_Q1,emotion_Q2,emo_pos_Q1,emo_pos_Q2,emo_neg_Q1,emo_neg_Q2,emo_anx_Q1,emo_anx_Q2,emo_anger_Q1,emo_anger_Q2,emo_sad_Q1,emo_sad_Q2,swear_Q1,swear_Q2,Social_Q1,Social_Q2,socbehav_Q1,socbehav_Q2,prosocial_Q1,prosocial_Q2,polite_Q1,polite_Q2,conflict_Q1,conflict_Q2,moral_Q1,moral_Q2,comm_Q1,comm_Q2,socrefs_Q1,socrefs_Q2,family_Q1,family_Q2,friend_Q1,friend_Q2,female_Q1,female_Q2,male_Q1,male_Q2,Culture_Q1,Culture_Q2,politic_Q1,politic_Q2,ethnicity_Q1,ethnicity_Q2,tech_Q1,tech_Q2,Lifestyle_Q1,Lifestyle_Q2,leisure_Q1,leisure_Q2,home_Q1,home_Q2,work_Q1,work_Q2,money_Q1,money_Q2,relig_Q1,relig_Q2,Physical_Q1,Physical_Q2,health_Q1,health_Q2,illness_Q1,illness_Q2,wellness_Q1,wellness_Q2,mental_Q1,mental_Q2,substances_Q1,substances_Q2,sexual_Q1,sexual_Q2,food_Q1,food_Q2,death_Q1,death_Q2,need_Q1,need_Q2,want_Q1,want_Q2,acquire_Q1,acquire_Q2,lack_Q1,lack_Q2,fulfill_Q1,fulfill_Q2,fatigue_Q1,fatigue_Q2,reward_Q1,reward_Q2,risk_Q1,risk_Q2,curiosity_Q1,curiosity_Q2,allure_Q1,allure_Q2,Perception_Q1,Perception_Q2,attention_Q1,attention_Q2,motion_Q1,motion_Q2,space_Q1,space_Q2,visual_Q1,visual_Q2,auditory_Q1,auditory_Q2,feeling_Q1,feeling_Q2,time_Q1,time_Q2,focuspast_Q1,focuspast_Q2,focuspresent_Q1,focuspresent_Q2,focusfuture_Q1,focusfuture_Q2,Conversation_Q1,Conversation_Q2,netspeak_Q1,netspeak_Q2,assent_Q1,assent_Q2,nonflu_Q1,nonflu_Q2,filler_Q1,filler_Q2,AllPunc_Q1,AllPunc_Q2,Period_Q1,Period_Q2,Comma_Q1,Comma_Q2,QMark_Q1,QMark_Q2,Exclam_Q1,Exclam_Q2,Apostro_Q1,Apostro_Q2,OtherP_Q1,OtherP_Q2,Emoji_Q1,Emoji_Q2
R_2hBdnry1AtOl99m,1.0,1.0,257.0,265.0,17.68,17.17,6.92,1.0,98.87,81.3,25.24,30.51,15.12,17.67,21.4,14.72,93.77,91.7,73.54,73.96,56.81,56.23,14.01,16.23,10.12,10.94,7.78,10.57,0.78,0.0,0.78,0.0,0.0,0.38,0.78,0.0,3.89,5.28,12.45,11.32,7.0,5.28,1.56,0.0,10.51,12.45,9.73,11.32,10.51,7.55,10.89,10.19,1.17,1.51,18.68,21.89,5.84,7.920000000000001,3.89,1.51,4.28,2.26,2.33,1.13,1.17,0.75,0.78,0.38,36.58,28.3,0.78,0.38,17.9,18.49,5.45,3.02,2.33,1.89,1.56,3.77,4.67,5.28,0.78,0.75,5.06,5.66,0.0,0.0,6.61,4.53,3.5,2.64,3.11,1.89,2.72,1.51,0.78,0.0,1.95,1.51,1.17,1.13,0.39,0.0,0.0,0.0,0.0,0.0,9.34,9.43,5.06,7.55,0.39,0.0,0.0,1.13,0.39,0.0,0.39,0.38,3.89,5.66,4.28,1.89,0.0,0.38,1.17,0.0,0.0,0.0,0.0,0.38,1.17,2.26,0.0,0.0,0.0,0.0,1.17,2.26,3.89,1.89,1.56,0.0,0.0,0.0,1.56,1.89,0.78,0.0,0.0,0.0,6.23,3.77,1.56,2.64,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.39,0.0,0.39,0.0,0.39,1.13,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,2.26,0.0,0.75,9.34,7.17,7.78,8.68,1.56,1.51,0.39,1.51,3.11,2.64,1.56,3.02,0.0,0.38,0.39,0.38,10.51,3.77,5.84,3.4,6.23,5.28,3.5,1.89,0.39,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,18.68,16.98,5.06,4.91,2.72,4.15,1.56,0.75,0.0,0.0,7.39,5.28,1.95,1.89,0.0,0.0
R_3nIZ7fgaHieiBpZ,1.0,1.0,120.0,160.0,4.95,8.85,1.71,1.0,96.79,58.989999999999995,1.0,78.09,30.0,26.670000000000005,14.17,12.5,98.33,95.0,78.33,78.13,63.33,62.5,15.83,12.5,10.83,8.75,9.17,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.6699999999999997,0.63,5.0,3.75,14.17,14.38,8.33,6.88,0.0,0.63,8.33,10.0,13.33,10.63,9.17,15.0,15.0,11.88,1.6699999999999997,1.25,23.33,21.25,8.33,6.88,1.6699999999999997,3.13,5.0,4.38,3.33,3.13,0.83,1.25,0.83,0.0,31.67,31.25,0.0,0.0,22.5,23.75,5.0,2.5,1.6699999999999997,0.63,4.17,5.0,6.67,10.0,0.83,0.63,6.67,7.5,0.0,0.0,8.33,5.63,1.6699999999999997,4.38,5.83,0.63,5.0,0.63,0.83,0.0,3.33,0.0,0.83,0.0,0.83,0.0,0.0,0.0,0.0,0.0,9.17,7.5,4.17,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.8799999999999997,3.33,2.5,5.0,1.25,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,1.25,4.17,6.88,0.83,0.0,0.0,0.0,3.33,6.88,0.0,0.0,0.0,0.0,5.0,7.5,0.83,6.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6699999999999997,0.0,8.33,6.88,13.33,7.5,5.0,2.5,1.6699999999999997,0.63,5.0,3.75,4.17,1.25,0.0,0.0,0.0,0.63,5.0,2.5,0.83,3.13,5.0,4.38,3.33,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,4.38,3.33,3.75,0.83,0.0,0.0,0.0,0.0,0.0,1.6699999999999997,0.63,0.0,0.0,0.0,0.0
R_40TVJRQSynAT7Gu,1.0,1.0,291.0,170.0,45.03,29.85,9.92,3.27,87.28,30.4,16.33,9.05,18.19,15.45,20.62,20.0,93.47,91.18,76.98,71.18,61.17,59.41,18.9,17.65,13.4,12.35,8.93,8.82,0.34,0.0,0.0,0.0,0.0,2.94,4.12,0.59,5.5,5.29,15.460000000000003,14.120000000000001,7.22,5.29,0.34,0.0,16.15,13.53,8.59,9.41,6.19,3.5300000000000002,6.53,8.82,1.37,2.94,17.87,17.65,6.53,4.71,3.7800000000000002,2.35,5.15,4.71,2.06,1.18,2.41,0.59,1.03,2.94,29.21,26.47,0.69,0.0,19.24,20.0,6.19,2.35,2.41,4.12,5.5,6.469999999999999,1.03,2.94,0.0,0.59,4.12,3.5300000000000002,0.0,0.0,5.84,3.5300000000000002,2.75,1.18,3.09,2.35,2.41,1.18,1.03,0.0,1.37,1.18,0.0,0.0,0.69,0.0,0.34,0.59,0.0,0.0,14.089999999999998,10.59,6.87,5.88,0.69,1.76,0.34,0.59,0.34,0.0,0.0,0.59,3.7800000000000002,2.35,7.22,4.71,0.0,0.59,1.37,0.59,0.0,0.0,0.0,2.94,0.34,0.0,0.0,0.0,0.0,0.0,0.34,0.0,3.09,4.12,1.03,0.0,0.0,0.0,1.72,2.94,1.03,1.18,0.0,0.0,3.09,3.5300000000000002,1.03,3.5300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.69,1.18,0.0,0.59,7.22,4.12,3.7800000000000002,8.24,1.03,2.94,1.03,0.59,1.37,4.71,0.0,0.0,0.0,0.0,0.34,0.59,8.25,4.71,4.12,2.35,1.72,2.35,0.69,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.37,10.59,5.5,6.469999999999999,5.15,1.76,0.0,0.0,0.0,0.0,1.37,1.76,0.34,0.59,0.0,0.0
R_410cYNjEF8U3sUw,1.0,1.0,37.0,56.0,59.120000000000005,1.0,7.049999999999999,1.0,20.17,15.38,62.77,5.5,7.4,11.2,21.62,3.57,94.59,100.0,67.57,83.92999999999999,48.65,64.29,10.81,32.14,5.41,17.86,2.7,12.5,2.7,0.0,0.0,0.0,0.0,5.36,0.0,0.0,5.41,14.290000000000001,16.22,14.290000000000001,8.11,3.57,0.0,0.0,8.11,3.57,10.81,16.07,0.0,3.57,2.7,10.709999999999999,5.41,3.57,21.62,30.359999999999996,8.11,5.36,2.7,0.0,2.7,0.0,2.7,0.0,0.0,0.0,0.0,0.0,24.32,33.93,2.7,0.0,21.62,21.43,2.7,1.7900000000000003,5.41,1.7900000000000003,8.11,5.36,0.0,12.5,0.0,0.0,8.11,7.14,0.0,0.0,10.81,1.7900000000000003,5.41,0.0,2.7,1.7900000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,8.11,12.5,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,8.11,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11,1.7900000000000003,2.7,0.0,0.0,0.0,5.41,1.7900000000000003,0.0,0.0,0.0,0.0,10.81,10.709999999999999,2.7,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.57,0.0,0.0,8.11,8.93,8.11,0.0,2.7,0.0,2.7,0.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7900000000000003,0.0,0.0,5.41,12.5,0.0,3.57,2.7,1.7900000000000003,0.0,0.0,0.0,1.7900000000000003,2.7,0.0,0.0,0.0,18.92,26.79,8.11,8.93,2.7,8.93,2.7,0.0,2.7,0.0,2.7,7.14,0.0,1.7900000000000003,0.0,0.0
R_41Ba1as7ba32vsJ,1.0,1.0,183.0,151.0,5.930000000000001,24.11,8.02,1.66,9.61,48.26,6.23,20.23,45.75,30.2,16.39,18.54,95.63000000000001,92.05,84.15,76.16,71.58,59.6,19.67,17.22,12.57,9.93,4.92,8.61,0.0,0.0,0.55,0.66,7.1,0.66,0.0,0.0,7.1,7.28,10.93,11.92,6.01,3.31,0.0,0.0,14.75,14.57,13.660000000000002,8.61,9.29,7.28,12.02,7.95,3.2800000000000002,2.65,24.04,18.54,3.2800000000000002,6.62,1.6400000000000001,5.96,2.19,2.65,2.19,1.99,0.0,0.0,0.0,0.66,37.16,24.5,0.55,0.66,27.320000000000004,21.85,3.2800000000000002,2.65,2.73,0.66,6.5600000000000005,4.64,9.29,8.61,0.0,1.32,8.74,6.62,0.0,0.0,2.73,2.65,0.55,1.32,2.19,1.32,1.6400000000000001,1.32,0.0,0.66,1.6400000000000001,0.66,0.0,0.66,1.09,0.0,0.0,0.0,1.6400000000000001,0.0,15.3,9.93,4.92,5.3,0.0,0.66,1.09,0.66,0.0,0.0,0.55,0.0,3.83,1.99,10.38,4.64,0.55,0.66,1.6400000000000001,0.66,0.0,0.0,7.1,1.99,1.09,1.99,0.0,0.0,0.0,0.0,1.09,1.99,0.55,1.32,0.0,0.0,0.0,0.0,0.55,1.32,0.0,0.0,0.0,0.0,2.19,2.65,0.55,2.65,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.55,0.0,0.55,0.0,1.09,0.0,0.55,1.99,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74,9.27,4.37,7.95,1.09,1.32,0.55,1.32,2.73,3.31,0.0,1.99,0.0,0.0,0.0,0.0,4.37,0.66,8.2,1.99,1.6400000000000001,1.32,2.19,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5600000000000005,7.28,2.19,3.31,2.19,1.99,0.0,0.0,0.0,0.0,2.19,1.32,0.0,0.66,0.0,0.0
R_41FkWLVk7rYU62L,1.0,1.0,146.0,135.0,1.0,1.57,28.73,24.26,57.620000000000005,77.17,73.75,54.76,16.22,11.25,13.7,7.41,97.95,95.56,83.56,79.26,66.44,60.739999999999995,28.77,24.44,17.81,19.26,7.530000000000001,11.11,2.05,0.74,0.0,2.22,4.11,5.19,4.11,0.0,10.96,5.19,13.01,11.11,4.11,5.93,0.68,0.74,8.9,7.41,14.38,15.559999999999999,7.530000000000001,8.15,7.530000000000001,8.15,2.74,2.22,26.71,27.41,5.48,5.19,4.11,0.74,3.42,2.96,2.74,2.96,0.68,0.0,0.0,0.0,37.67,26.67,4.11,0.74,16.44,8.89,4.79,2.96,2.05,0.74,2.05,2.22,4.11,2.22,0.0,0.74,4.11,1.48,0.0,0.0,4.79,5.19,4.11,3.7,0.68,1.48,1.37,2.22,0.68,0.74,0.68,1.48,0.68,0.74,0.0,0.0,0.0,0.0,0.0,0.0,18.49,14.07,8.22,4.44,1.37,0.74,0.0,0.74,0.0,0.0,0.0,0.0,6.16,2.96,10.27,8.89,0.0,0.0,0.0,0.74,4.11,2.22,0.0,1.48,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.74,3.42,3.7,0.68,0.0,0.0,0.0,2.05,2.22,0.68,0.0,0.0,1.48,0.68,3.7,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,1.48,1.37,0.74,0.0,0.0,0.68,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,6.16,14.07,4.79,8.89,0.0,0.0,2.74,3.7,0.68,6.67,2.05,1.48,0.0,0.0,0.0,0.0,5.48,3.7,8.22,5.93,4.11,8.15,4.79,2.22,0.68,1.48,0.0,0.74,0.0,0.0,0.68,0.74,0.0,0.0,15.070000000000002,17.04,6.16,7.41,3.42,1.48,0.0,0.0,0.0,2.96,5.48,5.19,0.0,0.0,0.0,0.0
R_41KlBJpdsWwJ4wV,1.0,1.0,194.0,154.0,8.66,18.12,9.05,1.0,60.510000000000005,96.22,10.11,8.22,12.93,11.85,22.16,15.580000000000002,91.24,94.16,67.53,75.97,56.7,57.79,13.4,16.23,7.73,11.04,6.7,10.39,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.65,5.67,5.19,14.95,13.639999999999999,4.64,6.49,1.03,0.65,7.220000000000001,11.69,13.4,12.34,8.76,7.14,7.73,8.44,3.0899999999999994,2.6,19.59,24.68,5.67,5.84,4.64,0.0,3.6100000000000003,1.9500000000000002,2.06,1.3,1.55,0.65,0.0,0.0,31.44,30.52,2.06,0.0,19.59,25.32,7.220000000000001,5.19,3.0899999999999994,1.3,4.64,5.19,2.06,9.74,1.03,0.65,2.06,5.19,0.52,0.0,6.19,3.9000000000000004,2.58,1.3,3.6100000000000003,2.6,2.06,2.6,0.0,0.0,2.06,2.6,0.0,1.3,1.55,1.3,0.0,0.0,0.0,0.0,10.82,7.790000000000001,6.19,4.55,1.03,0.0,0.0,0.0,0.52,0.65,0.0,0.0,3.6100000000000003,1.9500000000000002,4.64,2.6,0.0,0.65,1.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.52,0.0,4.64,2.6,1.55,0.0,0.0,0.0,2.58,2.6,0.52,0.0,0.0,0.0,4.12,5.19,0.52,4.55,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0899999999999994,0.0,0.0,0.0,0.0,0.65,1.03,0.65,0.0,1.3,1.03,0.0,0.52,0.65,0.0,0.0,0.0,0.0,1.03,1.9500000000000002,0.0,0.65,6.7,11.69,8.25,11.04,1.55,0.65,1.03,2.6,3.6100000000000003,5.19,1.55,1.3,0.0,0.65,0.52,1.9500000000000002,3.6100000000000003,4.55,3.0899999999999994,1.9500000000000002,5.67,4.55,2.58,2.6,1.03,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.53,16.23,7.73,7.790000000000001,5.67,1.9500000000000002,0.0,0.65,0.0,0.0,3.0899999999999994,4.55,1.03,1.3,0.0,0.0
R_41NjFgMFB7MhGSU,1.0,1.0,179.0,164.0,19.44,35.83,4.65,1.2,89.85,95.44,3.68,8.75,19.89,16.4,17.32,24.39,94.97,86.59,70.39,65.24,57.54,49.39,11.73,14.019999999999998,6.7,10.98,5.59,10.37,0.0,0.0,1.12,0.61,0.0,0.0,0.0,0.0,5.03,3.05,15.08,15.24,7.26,5.49,1.68,0.61,8.94,10.37,13.41,7.93,6.7,4.27,11.73,9.76,0.56,1.22,18.99,18.9,6.15,6.71,4.47,3.05,3.91,1.22,2.79,0.61,0.56,0.0,0.56,0.61,35.2,26.83,0.56,0.0,21.23,18.9,3.91,5.49,2.79,3.05,5.03,3.05,5.59,3.66,0.0,0.61,7.82,4.27,0.0,0.0,5.59,7.32,1.68,3.05,3.91,4.27,3.35,2.44,0.0,0.61,3.35,1.83,1.68,1.22,0.56,0.0,0.0,0.0,0.0,0.0,9.5,7.93,6.15,6.1,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,5.03,4.27,3.35,1.83,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,3.35,0.0,3.91,3.05,0.56,0.0,0.0,0.0,1.68,3.05,1.68,0.0,0.0,0.0,3.91,4.88,0.56,3.66,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.56,0.0,0.0,0.61,0.56,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,4.27,0.0,0.61,10.61,4.27,5.59,10.37,1.12,3.05,1.12,0.61,2.79,4.27,0.56,1.83,0.0,0.0,0.56,1.22,8.94,5.49,1.12,3.05,5.59,3.66,2.79,1.22,0.56,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.61,14.019999999999998,4.47,6.1,2.23,2.44,0.56,0.61,0.0,0.0,1.12,3.05,2.23,1.83,0.0,0.0
R_41ZtrfyfjJVGLwO,1.0,1.0,111.0,50.0,17.61,7.03,11.5,1.0,92.68,85.71,5.430000000000001,0.0,22.2,25.0,18.02,16.0,95.5,96.0,81.98,76.0,61.26,62.0,21.62,18.0,16.22,14.0,8.11,12.0,1.8,0.0,0.0,0.0,0.0,2.0,6.31,0.0,5.41,4.0,13.51,20.0,5.41,8.0,1.8,2.0,11.71,8.0,9.01,14.0,4.5,8.0,8.11,10.0,2.7000000000000006,2.0,23.42,20.0,8.11,10.0,3.6,4.0,2.7000000000000006,2.0,1.8,0.0,0.0,2.0,0.9,0.0,30.63,30.0,0.0,4.0,18.92,16.0,6.31,6.0,3.6,2.0,2.7000000000000006,4.0,1.8,0.0,0.0,0.0,5.41,2.0,0.0,0.0,6.31,0.0,1.8,0.0,3.6,0.0,4.5,0.0,0.0,0.0,3.6,0.0,0.0,0.0,2.7000000000000006,0.0,0.0,0.0,0.0,0.0,16.22,6.0,8.11,2.0,0.0,2.0,0.0,0.0,2.7000000000000006,0.0,0.9,0.0,4.5,2.0,8.11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,6.0,1.8,0.0,0.0,0.0,0.9,6.0,1.8,0.0,0.0,0.0,1.8,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,2.7000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.0,5.41,8.0,0.0,4.0,1.8,0.0,0.9,2.0,0.9,2.0,0.0,0.0,0.9,0.0,6.31,8.0,4.5,0.0,6.31,8.0,0.9,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01,16.0,4.5,2.0,3.6,4.0,0.0,0.0,0.0,0.0,0.9,6.0,0.0,4.0,0.0,0.0
R_41jSm6yTj5RoCxr,1.0,1.0,87.0,89.0,1.35,14.810000000000002,33.55,5.44,11.47,64.89,20.23,3.6400000000000006,17.4,17.8,18.39,20.22,95.4,94.38,81.61,79.78,67.82,61.8,19.54,19.1,14.94,14.61,8.05,11.24,2.3,0.0,0.0,0.0,2.3,0.0,2.3,2.25,4.6,4.49,6.9,13.48,1.15,6.74,1.15,0.0,12.64,12.36,17.24,10.11,10.34,13.48,10.34,6.74,2.3,0.0,27.59,23.6,4.6,6.74,3.45,1.12,5.75,4.49,5.75,3.37,0.0,0.0,0.0,1.12,35.63,33.71,0.0,0.0,26.44,25.839999999999996,4.6,4.49,1.15,3.37,12.64,3.37,3.45,6.74,0.0,2.25,2.3,3.37,0.0,0.0,4.6,2.25,2.3,0.0,2.3,2.25,2.3,2.25,0.0,0.0,2.3,2.25,1.15,2.25,0.0,0.0,0.0,0.0,0.0,0.0,16.09,11.24,6.9,5.62,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,3.45,3.37,9.2,5.62,0.0,1.12,1.15,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,1.12,0.0,0.0,0.0,0.0,2.3,1.12,1.15,0.0,0.0,0.0,1.15,5.62,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,2.25,1.15,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,11.49,4.49,4.6,5.62,0.0,1.12,2.3,0.0,3.45,1.12,0.0,2.25,0.0,0.0,1.15,1.12,5.75,3.37,3.45,2.25,4.6,2.25,0.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,6.74,5.75,5.62,0.0,1.12,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0
