Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
R_9E6o1UR695yWgg2.txt,1,120,1,18.97,28.56,1.23,30,7.5,94.17,82.5,69.17,16.67,12.5,3.33,0,0,0,9.17,4.17,7.5,4.17,0,9.17,17.5,12.5,15,3.33,26.67,3.33,2.5,5,3.33,1.67,0,34.17,1.67,25,5.83,4.17,7.5,3.33,0.83,8.33,0,5.83,0.83,4.17,2.5,0,2.5,0,1.67,0,2.5,15.83,2.5,0,0,0,0,2.5,13.33,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,5,1.67,0.83,0,0,0,0,2.5,0.83,0.83,1.67,1.67,0.83,0,0,0,0,0,7.5,5,0,0.83,2.5,0,0.83,0.83,1.67,4.17,8.33,3.33,2.5,2.5,0,0,0,10.83,3.33,2.5,0,0,5,0,0
R_9BJxT7iJnxHaxDr.txt,1,195,7.69,1.24,98.89,34.68,13.93,21.03,94.36,74.36,58.46,15.9,10.77,8.72,0.51,0,1.03,0.51,5.13,14.36,6.15,1.03,9.23,12.31,11.28,8.21,3.08,22.05,6.15,3.08,3.59,2.56,0.51,0.51,41.54,1.03,21.54,5.64,1.03,3.59,5.64,2.05,6.15,0,5.13,3.08,2.05,1.54,0.51,1.03,0,0.51,0,0,9.74,5.64,0.51,0,0.51,0,3.59,4.1,0,1.54,1.03,0,1.54,0,0,1.54,5.13,1.03,0,2.56,1.54,0,2.56,0.51,0,0,0,0,0,2.05,0,0.51,0.51,0.51,0,0,0,0,0.51,0,10.26,7.18,1.03,1.54,4.62,0.51,0,0,8.72,5.13,8.72,2.05,0.51,0,0,0.51,0,23.59,5.64,4.62,1.54,0,8.72,3.08,0
R_4DIOFgBmrAWKKl6.txt,1,89,55.88,17.66,64.89,72.98,17.8,22.47,96.63,76.4,55.06,13.48,7.87,5.62,0,0,0,2.25,5.62,16.85,11.24,0,12.36,10.11,3.37,10.11,1.12,24.72,6.74,2.25,4.49,3.37,1.12,0,23.6,0,16.85,6.74,2.25,4.49,3.37,0,3.37,0,10.11,6.74,3.37,2.25,0,2.25,0,2.25,0,0,12.36,6.74,1.12,0,1.12,1.12,2.25,5.62,0,1.12,0,0,0,0,0,0,5.62,0,0,4.49,1.12,0,3.37,1.12,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,1.12,5.62,8.99,3.37,1.12,4.49,2.25,0,0,3.37,3.37,2.25,0,1.12,0,1.12,0,0,6.74,5.62,1.12,0,0,0,0,0
R_48H5gk6KZzuoe1V.txt,1,210,14.57,9.23,94.92,49.34,16.15,20.48,92.38,69.52,54.76,13.33,9.52,6.19,0.95,0,0,2.38,3.81,13.33,5.24,0.95,9.52,11.43,7.62,10.48,2.38,19.52,6.19,3.81,5.24,3.33,1.9,0,36.19,1.43,20.48,7.14,0.95,4.29,4.29,0.48,5.71,0.48,5.71,3.81,1.9,1.9,0.95,0.95,0.48,0,0,0,11.43,5.24,0.95,0.48,0.48,0.48,3.81,6.19,0,1.43,0,0,0.48,0,0,0.48,5.24,1.43,0,3.33,0.48,0,5.24,0.95,0,0,0,0,0,3.81,0,0,0,0,0,0.48,0,0,1.43,0,9.52,7.14,2.86,0.95,4.29,0.48,0,0,7.14,2.86,7.62,0.95,0.48,0,0,0.48,0,18.1,4.76,4.29,0.95,0.48,3.81,3.81,0
R_9cSz6xO81NhYah9.txt,1,153,3.11,47.81,46.57,13.26,25.5,13.73,96.08,75.16,64.05,20.92,11.76,3.27,4.58,0,1.96,1.31,9.15,15.69,5.88,2.61,9.15,15.03,7.19,9.15,3.92,20.92,5.23,2.61,7.84,5.88,1.31,0.65,31.37,3.27,15.69,4.58,0.65,3.27,3.92,0,5.23,0,3.27,1.31,1.96,0.65,0,0.65,0,0.65,0,0,13.73,4.58,1.31,0.65,0.65,0,0.65,9.15,0,0,1.96,0,1.31,0,0,1.31,5.23,2.61,0,1.31,1.31,0,5.23,1.31,0,0,0,0,0,3.92,0,1.31,0,0.65,0,0,0,0,0.65,0,10.46,6.54,0.65,0.65,4.58,0,0,0,4.58,3.27,5.88,3.92,1.31,1.31,0,0,0,7.19,3.92,3.27,0,0,0,0,0
R_4lLa3jvZvd4lVpy.txt,1,54,49.68,40.06,2.63,48.44,10.8,25.93,94.44,66.67,55.56,7.41,1.85,1.85,0,0,0,0,5.56,12.96,9.26,0,11.11,14.81,9.26,5.56,0,22.22,3.7,1.85,1.85,1.85,0,0,27.78,0,16.67,3.7,3.7,5.56,3.7,0,1.85,0,9.26,5.56,3.7,3.7,3.7,0,0,0,0,0,9.26,5.56,0,0,0,1.85,3.7,3.7,0,1.85,0,0,0,0,0,0,11.11,3.7,0,3.7,3.7,0,7.41,1.85,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,1.85,0,9.26,1.85,0,0,1.85,0,0,0,3.7,5.56,3.7,0,0,0,0,0,0,14.81,9.26,3.7,0,0,0,1.85,0
R_9kTCAUflKkIxCMx.txt,1,108,1.26,1,99,10.93,36,19.44,95.37,83.33,67.59,25,11.11,9.26,0,0,0.93,0.93,13.89,14.81,5.56,0,8.33,13.89,5.56,11.11,4.63,22.22,8.33,0.93,1.85,1.85,0,0,41.67,0,31.48,4.63,2.78,2.78,8.33,0.93,12.96,0,0.93,0,0.93,0,0,0,0,0,0,0,6.48,2.78,0,0,0,0,1.85,3.7,0,1.85,0,0.93,0.93,0,0,0.93,1.85,0.93,0,0,0.93,0,0.93,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,8.33,8.33,1.85,0.93,3.7,0.93,0,0.93,3.7,3.7,7.41,1.85,0,0,0,0,0,6.48,2.78,1.85,0,0,1.85,0,0
R_9qVrcNn6GPJONYR.txt,1,88,10.71,13.41,89.39,55.62,44,12.5,97.73,80.68,69.32,18.18,11.36,5.68,2.27,0,0,3.41,6.82,17.05,9.09,1.14,9.09,12.5,9.09,9.09,2.27,19.32,5.68,3.41,5.68,4.55,0,1.14,36.36,1.14,20.45,1.14,3.41,3.41,3.41,2.27,6.82,0,4.55,3.41,1.14,0,0,0,0,0,0,0,15.91,9.09,2.27,1.14,0,1.14,5.68,6.82,0,1.14,0,0,0,0,0,0,3.41,1.14,0,0,2.27,0,1.14,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,7.95,6.82,0,0,6.82,0,0,0,7.95,6.82,3.41,1.14,0,0,0,0,0,4.55,2.27,1.14,0,0,0,1.14,0
R_9AN9hSpXOdSyURH.txt,1,62,2.75,31.06,86.48,97.31,6.89,16.13,90.32,69.35,51.61,19.35,12.9,6.45,4.84,0,0,1.61,6.45,6.45,3.23,0,4.84,4.84,14.52,8.06,3.23,17.74,4.84,3.23,6.45,6.45,0,0,35.48,1.61,17.74,1.61,1.61,0,11.29,6.45,4.84,0,9.68,8.06,1.61,0,0,0,0,0,0,0,11.29,3.23,1.61,0,0,0,1.61,8.06,0,1.61,0,0,0,0,0,0,3.23,0,0,1.61,1.61,0,3.23,1.61,0,0,0,0,0,1.61,0,4.84,0,1.61,0,0,0,0,1.61,0,4.84,3.23,0,1.61,3.23,0,0,0,6.45,8.06,4.84,6.45,3.23,1.61,1.61,0,0,17.74,12.9,1.61,0,0,3.23,0,0
R_9zvj7mgXc2CCZKn.txt,1,150,22.17,10.48,88.25,4.56,16.67,13.33,94,78,64.67,18,12.67,8,0,1.33,0,3.33,5.33,13.33,6.67,0.67,12.67,9.33,4.67,10,4,19.33,4,3.33,7.33,4.67,1.33,1.33,28.67,1.33,19.33,4,1.33,7.33,3.33,0,6,0,3.33,0.67,2.67,1.33,0,1.33,0,1.33,0,0,14.67,6,0.67,0.67,1.33,1.33,3.33,10,0,4.67,0,0,0,0,0,0,1.33,0.67,0,0,0.67,0,1.33,0,0,0,0,0,0,1.33,0,0,0.67,0,1.33,0,0,0,0.67,0,14,7.33,0.67,2.67,5.33,0.67,0.67,0,6,4.67,1.33,2.67,0.67,0,0.67,0,0,12.67,6,4.67,0,0,0.67,1.33,0
