,crt2_total,bcrt6_total,bcrt_core3_total,bcrt_core4_total,combined7_total,combined8_total,combined10_total,NFC_total,bcrt_selected_total,combined_selected_total
crt2_total,1.0,0.2963577382425936,0.21276258479959753,0.24862196161460076,0.7866086337375293,0.7570195169734921,0.7029187357559694,0.12756593160527588,0.24862196161460076,0.7570195169734921
bcrt6_total,0.2963577382425936,1.0,0.840200274151751,0.8999530225979697,0.7242122445229201,0.78172974639507,0.8876331898988458,-0.06660996175232947,0.8999530225979697,0.78172974639507
bcrt_core3_total,0.21276258479959753,0.840200274151751,1.0,0.9518715423098107,0.7706755685803003,0.7674894986205468,0.7283155466450891,-0.04256146588985614,0.9518715423098107,0.7674894986205468
bcrt_core4_total,0.24862196161460076,0.8999530225979697,0.9518715423098107,1.0,0.7636482515872882,0.8210878157193487,0.7901068184589396,-0.05132212573472095,1.0,0.8210878157193487
combined7_total,0.7866086337375293,0.7242122445229201,0.7706755685803003,0.7636482515872882,1.0,0.9786898303783013,0.9186526661837726,0.0562978902098144,0.7636482515872881,0.9786898303783013
combined8_total,0.7570195169734921,0.78172974639507,0.7674894986205468,0.8210878157193487,0.9786898303783013,1.0,0.9472191404448658,0.0405547912176754,0.8210878157193486,1.0
combined10_total,0.7029187357559694,0.8876331898988458,0.7283155466450891,0.7901068184589396,0.9186526661837726,0.9472191404448658,1.0,0.011907890158413254,0.7901068184589397,0.9472191404448658
NFC_total,0.12756593160527588,-0.06660996175232947,-0.04256146588985614,-0.05132212573472095,0.0562978902098144,0.0405547912176754,0.011907890158413254,1.0,-0.05132212573472095,0.040554791217675405
bcrt_selected_total,0.24862196161460076,0.8999530225979697,0.9518715423098107,1.0,0.7636482515872881,0.8210878157193486,0.7901068184589397,-0.05132212573472095,1.0,0.8210878157193487
combined_selected_total,0.7570195169734921,0.78172974639507,0.7674894986205468,0.8210878157193487,0.9786898303783013,1.0,0.9472191404448658,0.040554791217675405,0.8210878157193487,1.0
