var_x,var_y,n,r,p,lo,hi
crt2_total,bcrt6_total,240,0.29635773824259365,2.974447842696293e-06,0.17634341724486355,0.4076899843010576
crt2_total,bcrt_core3_total,240,0.21276258479959623,0.0009100443200591446,0.08851520045890586,0.3304905254482955
crt2_total,bcrt_core4_total,240,0.24862196161459943,9.908316672668782e-05,0.1259552667501285,0.3638004460323733
crt2_total,combined7_total,240,0.7866086337375281,0.0,0.7329894985584822,0.8305134125619059
crt2_total,combined8_total,240,0.7570195169734911,0.0,0.6972254682385949,0.8063523310128602
crt2_total,combined10_total,240,0.7029187357559681,0.0,0.6325951828659239,0.7617462718227865
crt2_total,NFC_total,240,0.127565931605276,0.048382056215458435,0.0009490487728396789,0.25015711817129194
crt2_total,bcrt_selected_total,240,0.24862196161459943,9.908316672668782e-05,0.1259552667501285,0.3638004460323733
crt2_total,combined_selected_total,240,0.7570195169734911,0.0,0.6972254682385949,0.8063523310128602
bcrt6_total,bcrt_core3_total,240,0.8402002741517504,0.0,0.7985286506756569,0.8738572086805318
bcrt6_total,bcrt_core4_total,240,0.8999530225979692,0.0,0.8727861780481788,0.9215613052093726
bcrt6_total,combined7_total,240,0.724212244522919,0.0,0.6579166450555526,0.7793695666203863
bcrt6_total,combined8_total,240,0.7817297463950699,0.0,0.7270719627921038,0.8265408856443772
bcrt6_total,combined10_total,240,0.8876331898988442,0.0,0.857372138807248,0.9117787743406681
bcrt6_total,NFC_total,240,-0.06660996175232922,0.30410443282486055,-0.1916258180423525,0.06053284451313186
bcrt6_total,bcrt_selected_total,240,0.8999530225979692,0.0,0.8727861780481788,0.9215613052093726
bcrt6_total,combined_selected_total,240,0.7817297463950699,0.0,0.7270719627921038,0.8265408856443772
bcrt_core3_total,bcrt_core4_total,240,0.9518715423098086,0.0,0.9383452085425219,0.9624877875335928
bcrt_core3_total,combined7_total,240,0.7706755685802983,0.0,0.7136944785650949,0.8175237187073228
bcrt_core3_total,combined8_total,240,0.7674894986205483,0.0,0.7098464792838939,0.814920490951841
bcrt_core3_total,combined10_total,240,0.7283155466450879,0.0,0.6628134290171954,0.7827556114850476
bcrt_core3_total,NFC_total,240,-0.042561465889856036,0.511686179382127,-0.16828667290297863,0.08452631531390187
bcrt_core3_total,bcrt_selected_total,240,0.9518715423098086,0.0,0.9383452085425219,0.9624877875335928
bcrt_core3_total,combined_selected_total,240,0.7674894986205483,0.0,0.7098464792838939,0.814920490951841
bcrt_core4_total,combined7_total,240,0.7636482515872888,0.0,0.7052117555099443,0.811779393953656
bcrt_core4_total,combined8_total,240,0.8210878157193469,0.0,0.7750414408775947,0.8584605873884975
bcrt_core4_total,combined10_total,240,0.79010681845894,0.0,0.7372374002826616,0.8333589859766983
bcrt_core4_total,NFC_total,240,-0.05132212573472063,0.428681618382446,-0.17680527589037123,0.07580273255623983
bcrt_core4_total,bcrt_selected_total,240,0.999999,0.0,0.9999987100141909,0.999999224797699
bcrt_core4_total,combined_selected_total,240,0.8210878157193469,0.0,0.7750414408775947,0.8584605873884975
combined7_total,combined8_total,240,0.9786898303782994,0.0,0.9725948567211615,0.9834406457126235
combined7_total,combined10_total,240,0.9186526661837716,0.0,0.8962863595629046,0.936357460705607
combined7_total,NFC_total,240,0.05629789020981466,0.3852308858431155,-0.07083934617262329,0.1816352035976686
combined7_total,bcrt_selected_total,240,0.7636482515872888,0.0,0.7052117555099443,0.811779393953656
combined7_total,combined_selected_total,240,0.9786898303782994,0.0,0.9725948567211615,0.9834406457126235
combined8_total,combined10_total,240,0.9472191404448635,0.0,0.9324305296759395,0.9588399785774191
combined8_total,NFC_total,240,0.040554791217675634,0.531807450547394,-0.08652175871856482,0.1663327957196233
combined8_total,bcrt_selected_total,240,0.8210878157193469,0.0,0.7750414408775947,0.8584605873884975
combined8_total,combined_selected_total,240,0.999999,0.0,0.9999987100141909,0.999999224797699
combined10_total,NFC_total,240,0.011907890158413263,0.8543903227929479,-0.11489758021186675,0.13833151068701152
combined10_total,bcrt_selected_total,240,0.79010681845894,0.0,0.7372374002826616,0.8333589859766983
combined10_total,combined_selected_total,240,0.9472191404448635,0.0,0.9324305296759395,0.9588399785774191
NFC_total,bcrt_selected_total,240,-0.051322125734720635,0.4286816183824458,-0.17680527589037123,0.07580273255623982
NFC_total,combined_selected_total,240,0.04055479121767564,0.531807450547394,-0.0865217587185648,0.16633279571962334
bcrt_selected_total,combined_selected_total,240,0.8210878157193469,0.0,0.7750414408775947,0.8584605873884975
