base,predictor,r,p,n,sig
AllPunc,CRT2,0.20086079776753318,0.15756103980535663,51,False
AllPunc,Core3,0.09255589141449519,0.5182899487381722,51,False
AllPunc,Core4,0.16246180701005056,0.2546893192623565,51,False
AllPunc,CRT2+Core3,0.1735982880853096,0.22311727310058305,51,False
AllPunc,CRT2+Core4,0.2097138084432268,0.13967357241463807,51,False
AllPunc,CRT2+BCRT(all),0.184809058365715,0.19418505767972216,51,False
AllPunc,NFC,0.10088979250008275,0.4811614349125377,51,False
Apostro,CRT2,0.0479533492907385,0.7382604368732251,51,False
Apostro,Core3,-0.03460086718209163,0.8095195786662517,51,False
Apostro,Core4,0.012148044267113262,0.9325740620434935,51,False
Apostro,CRT2+Core3,0.0096886876208229,0.9462017485781558,51,False
Apostro,CRT2+Core4,0.03430170034602784,0.8111362261646899,51,False
Apostro,CRT2+BCRT(all),0.028339183162906317,0.843510986825216,51,False
Apostro,NFC,0.12794399873031972,0.3709281755389049,51,False
Comma,CRT2,-0.026702931421773525,0.8524427542737323,51,False
Comma,Core3,0.09152235181506804,0.5229924005818112,51,False
Comma,Core4,0.18228857777833982,0.2004446256722252,51,False
Comma,CRT2+Core3,0.03507436827897571,0.8069624696700888,51,False
Comma,CRT2+Core4,0.0927868688934568,0.5172419391438137,51,False
Comma,CRT2+BCRT(all),0.07252926146432238,0.6130050502389617,51,False
Comma,NFC,-0.09182642522490372,0.5216067112410223,51,False
Conversation,CRT2,0.10631705034028206,0.45775955043170535,51,False
Conversation,Core3,0.09762457736814184,0.49553888996347517,51,False
Conversation,Core4,0.15112952308808847,0.28977321194387384,51,False
Conversation,CRT2+Core3,0.11912651421478235,0.4050627126290265,51,False
Conversation,CRT2+Core4,0.14955340010283286,0.2948910417919355,51,False
Conversation,CRT2+BCRT(all),0.14021441454440786,0.3264122582623994,51,False
Conversation,NFC,0.007043272910540188,0.9608773518919393,51,False
Culture,CRT2,0.3773525921618713,0.006338210266996436,51,True
Culture,Core3,0.23720058015383857,0.09374425536634079,51,False
Culture,Core4,0.2665816788918078,0.05863043740895435,51,False
Culture,CRT2+Core3,0.36159919580745586,0.009128870278327872,51,True
Culture,CRT2+Core4,0.3711211018769985,0.007337610431736419,51,True
Culture,CRT2+BCRT(all),0.33411087489206576,0.016566844004609393,51,True
Culture,NFC,-0.030842239802763738,0.8298856358362661,51,False
Emoji,CRT2,,,51,False
Emoji,Core3,,,51,False
Emoji,Core4,,,51,False
Emoji,CRT2+Core3,,,51,False
Emoji,CRT2+Core4,,,51,False
Emoji,CRT2+BCRT(all),,,51,False
Emoji,NFC,,,51,False
Exclam,CRT2,-0.05841387326640137,0.6838870751995896,51,False
Exclam,Core3,-0.03724734784121489,0.7952534576436541,51,False
Exclam,Core4,-0.011804692627075,0.9344755672493272,51,False
Exclam,CRT2+Core3,-0.05627148989349659,0.6949050580199896,51,False
Exclam,CRT2+Core4,-0.04001271462055909,0.7804170870146723,51,False
Exclam,CRT2+BCRT(all),-0.0602295421725002,0.6746000180754717,51,False
Exclam,NFC,-0.08902882503881233,0.5344242728042983,51,False
Lifestyle,CRT2,0.02671825941652354,0.8523589967677632,51,False
Lifestyle,Core3,-0.09140087753158382,0.523546481088645,51,False
Lifestyle,Core4,-0.10822840505218277,0.4496678965708587,51,False
Lifestyle,CRT2+Core3,-0.03499703959424958,0.807379941924907,51,False
Lifestyle,CRT2+Core4,-0.04894698758365992,0.7330357014647162,51,False
Lifestyle,CRT2+BCRT(all),-0.01038892905190985,0.9423198760130378,51,False
Lifestyle,NFC,0.01121415112852954,0.9377468686446186,51,False
OtherP,CRT2,0.029307510340849507,0.838234299416416,51,False
OtherP,Core3,0.09291580182015577,0.5166573970484596,51,False
OtherP,Core4,0.0788055595485589,0.5825332186036878,51,False
OtherP,CRT2+Core3,0.06980735491340927,0.6264285942337093,51,False
OtherP,CRT2+Core4,0.06320970905216791,0.6594607458024822,51,False
OtherP,CRT2+BCRT(all),0.04001103883325123,0.7804260548804556,51,False
OtherP,NFC,0.10245130805600876,0.4743643759123015,51,False
Period,CRT2,0.35405773619577235,0.01080475411550852,51,True
Period,Core3,0.04903856032937842,0.7325547933982419,51,False
Period,Core4,0.059568279406709494,0.6779768758051192,51,False
Period,CRT2+Core3,0.24208968025499758,0.08697624280455729,51,False
Period,CRT2+Core4,0.23543329319679887,0.0962889999296328,51,False
Period,CRT2+BCRT(all),0.2353494884300023,0.09641098857900943,51,False
Period,NFC,0.0955610277249453,0.5047384129636452,51,False
QMark,CRT2,0.14162585756915883,0.3215170394696041,51,False
QMark,Core3,0.03151004626253615,0.8262586301846069,51,False
QMark,Core4,0.1551029406827758,0.277129784994925,51,False
QMark,CRT2+Core3,0.10349966455865216,0.4698298696131622,51,False
QMark,CRT2+Core4,0.1718680594542856,0.22783551532290525,51,False
QMark,CRT2+BCRT(all),0.1530281492922745,0.28368559272484273,51,False
QMark,NFC,-0.023185624699524322,0.8717033715762872,51,False
achieve,CRT2,-0.02282142111248281,0.8737021495753832,51,False
achieve,Core3,0.03946925178995299,0.7833268704089382,51,False
achieve,Core4,-0.017498524250237606,0.9029974579308511,51,False
achieve,CRT2+Core3,0.008272592725228687,0.9540557317228997,51,False
achieve,CRT2+Core4,-0.023259078750105702,0.8713003457256467,51,False
achieve,CRT2+BCRT(all),-0.01765856977156808,0.9021145573550222,51,False
achieve,NFC,-0.06673809215274538,0.6417101472586362,51,False
acquire,CRT2,-0.21660157861260354,0.12683945751699666,51,False
acquire,Core3,-0.0444086578480732,0.7569932054354265,51,False
acquire,Core4,-0.07524590309601964,0.5997317330142602,51,False
acquire,CRT2+Core3,-0.15617304501271873,0.27378794743821366,51,False
acquire,CRT2+Core4,-0.16699620217053426,0.24148927863341285,51,False
acquire,CRT2+BCRT(all),-0.10262883079784152,0.47359489383155084,51,False
acquire,NFC,-0.26972160275220086,0.05560921361710469,51,False
adj,CRT2,0.19434863987153123,0.17175397756112254,51,False
adj,Core3,0.29419719720656395,0.03612440567301256,51,True
adj,Core4,0.35180328337602645,0.011354562064774587,51,True
adj,CRT2+Core3,0.28258900766126227,0.0445142266694567,51,True
adj,CRT2+Core4,0.3180903675538636,0.02292150066459131,51,True
adj,CRT2+BCRT(all),0.2558755584437173,0.06993713688806702,51,False
adj,NFC,-0.05575205968754716,0.6975859536771218,51,False
adverb,CRT2,0.17628014677835427,0.2159386259621765,51,False
adverb,Core3,-0.04008582970211931,0.7800258440305032,51,False
adverb,Core4,-0.0016424830929565287,0.9908732911314457,51,False
adverb,CRT2+Core3,0.0844059843998422,0.5559363185801534,51,False
adverb,CRT2+Core4,0.09869403511511847,0.49080550154437885,51,False
adverb,CRT2+BCRT(all),0.06713038861236967,0.6397485514328012,51,False
adverb,NFC,0.23121499752059865,0.10257938039103776,51,False
affiliation,CRT2,-0.012993724386987246,0.9278922384633175,51,False
affiliation,Core3,-0.1952809453148565,0.16966710381765426,51,False
affiliation,Core4,-0.25135707828506193,0.07520134253106603,51,False
affiliation,CRT2+Core3,-0.11725242892916578,0.4125451254737982,51,False
affiliation,CRT2+Core4,-0.15610773482702786,0.27399113708701117,51,False
affiliation,CRT2+BCRT(all),-0.11155709213038856,0.4357654913575528,51,False
affiliation,NFC,0.10510218447370885,0.46294351334765627,51,False
allnone,CRT2,0.09199805166981037,0.5208254033103912,51,False
allnone,Core3,-0.19889249078813648,0.16175685799713757,51,False
allnone,Core4,-0.15790742969411373,0.2684285252099101,51,False
allnone,CRT2+Core3,-0.0556311110369299,0.6982107235711819,51,False
allnone,CRT2+Core4,-0.041440447321349924,0.7727870680403166,51,False
allnone,CRT2+BCRT(all),-0.02691450705260977,0.8512867741500172,51,False
allnone,NFC,0.12585696029105764,0.3788470013093088,51,False
allure,CRT2,0.15816879647258655,0.267626972518755,51,False
allure,Core3,0.1302604730665249,0.36225637521960685,51,False
allure,Core4,0.1157097596934893,0.41876346148203725,51,False
allure,CRT2+Core3,0.1688373097165713,0.2362653025706305,51,False
allure,CRT2+Core4,0.15790702145186464,0.2684297784448111,51,False
allure,CRT2+BCRT(all),0.14707485796666475,0.3030570984408416,51,False
allure,NFC,-0.035923201294342226,0.8023834246806487,51,False
article,CRT2,-0.1715130463867128,0.2288120712176882,51,False
article,Core3,-0.2236562054218077,0.1146376351087901,51,False
article,Core4,-0.2169611641790578,0.12619473842113305,51,False
article,CRT2+Core3,-0.22923682994361522,0.10563621956506286,51,False
article,CRT2+Core4,-0.22537552609949232,0.11180421894561143,51,False
article,CRT2+BCRT(all),-0.2581145772041201,0.06743947289069308,51,False
article,NFC,0.15782175132135062,0.2686916287296779,51,False
assent,CRT2,0.14083605823806622,0.3242504974540903,51,False
assent,Core3,0.05268290501665101,0.713500322867068,51,False
assent,Core4,0.12800001478814071,0.37071701605398877,51,False
assent,CRT2+Core3,0.11487971320010344,0.42213128130837374,51,False
assent,CRT2+Core4,0.15538112731408948,0.27625845478636535,51,False
assent,CRT2+BCRT(all),0.17947746720204,0.20759279730606628,51,False
assent,NFC,0.05803507008735673,0.6858305468927675,51,False
attention,CRT2,0.03877829484479017,0.787030599514027,51,False
attention,Core3,0.1975926653143599,0.1645721314040467,51,False
attention,Core4,0.21446153278365876,0.13072794535032872,51,False
attention,CRT2+Core3,0.13417735440760306,0.3478762059006473,51,False
attention,CRT2+Core4,0.14884995632453124,0.29719401804120693,51,False
attention,CRT2+BCRT(all),0.1442672853887372,0.3124814654191186,51,False
attention,NFC,-0.04142371671707418,0.7728763573322066,51,False
auditory,CRT2,0.04154629482021507,0.7722222398249705,51,False
auditory,Core3,-0.03460628460875583,0.8094903110373044,51,False
auditory,Core4,-0.00812848810763835,0.9548552234738388,51,False
auditory,CRT2+Core3,0.005801812169215841,0.9677691596693501,51,False
auditory,CRT2+Core4,0.018678939061424194,0.896488431979676,51,False
auditory,CRT2+BCRT(all),-0.05275324744282031,0.7131341922308736,51,False
auditory,NFC,-0.1965258704330125,0.16690926789214888,51,False
auxverb,CRT2,0.03290426277173506,0.8186979824036695,51,False
auxverb,Core3,0.05916426367782165,0.6800431493310699,51,False
auxverb,Core4,0.024338946960582683,0.8653791412754377,51,False
auxverb,CRT2+Core3,0.053083576232566244,0.7114156963882432,51,False
auxverb,CRT2+Core4,0.033008148127151,0.8181352706364571,51,False
auxverb,CRT2+BCRT(all),0.01877978003191068,0.8959326829367584,51,False
auxverb,NFC,0.15501091858356164,0.2774184135587492,51,False
bcrt4_total,CRT2,0.38543121570661937,0.004776377591459546,52,True
bcrt4_total,Core3,0.6578778829110536,1.1617938766583791e-07,52,True
bcrt4_total,Core4,0.6054826545028512,1.9794617465151987e-06,52,True
bcrt4_total,CRT2+Core3,0.6054225834536352,1.9853317567708473e-06,52,True
bcrt4_total,CRT2+Core4,0.5789540199373748,6.915870027546234e-06,52,True
bcrt4_total,CRT2+BCRT(all),0.4962248427408399,0.00018313153320881348,52,True
bcrt4_total,NFC,-0.14222352967695212,0.3145205410939571,52,False
bcrt6_total,CRT2,0.5388119196507423,3.7751307250477595e-05,52,True
bcrt6_total,Core3,0.8642775642946494,2.220446049250313e-16,52,True
bcrt6_total,Core4,0.9047058675900963,0.0,52,True
bcrt6_total,CRT2+Core3,0.8149182115283554,1.9517720772910252e-13,52,True
bcrt6_total,CRT2+Core4,0.8442296543143645,3.774758283725532e-15,52,True
bcrt6_total,CRT2+BCRT(all),0.9104528991641867,0.0,52,True
bcrt6_total,NFC,-0.09398135156993803,0.5075202314304486,52,False
cause,CRT2,-0.13406633457441253,0.3482788865490176,51,False
cause,Core3,-0.04302666169949827,0.7643350172582033,51,False
cause,Core4,-0.031220202833356477,0.8278323978832103,51,False
cause,CRT2+Core3,-0.10536761557882071,0.4618081902506552,51,False
cause,CRT2+Core4,-0.09427619332823428,0.5105100815927472,51,False
cause,CRT2+BCRT(all),-0.11190071268623965,0.4343441590992061,51,False
cause,NFC,0.18084378156740694,0.2040964349656278,51,False
certitude,CRT2,0.11208784356102543,0.4335712145395203,51,False
certitude,Core3,-0.10895956027881087,0.4465934872745718,51,False
certitude,Core4,-0.14300665554671452,0.31677330263700565,51,False
certitude,CRT2+Core3,0.006917937657679388,0.9615730140191008,51,False
certitude,CRT2+Core4,-0.02126322299040466,0.882262336120097,51,False
certitude,CRT2+BCRT(all),0.07271953471850641,0.6120713045398212,51,False
certitude,NFC,0.056990369343638526,0.6912008570583632,51,False
combined10_total,CRT2,0.8390010572989195,8.215650382226158e-15,52,True
combined10_total,Core3,0.7846691613626123,5.849543072145025e-12,52,True
combined10_total,Core4,0.8224559043028279,7.593925488436071e-14,52,True
combined10_total,CRT2+Core3,0.9505959115961378,0.0,52,True
combined10_total,CRT2+Core4,0.9636177892872253,0.0,52,True
combined10_total,CRT2+BCRT(all),1.0,0.0,52,True
combined10_total,NFC,0.0588023049854873,0.6788152671386833,52,False
comm,CRT2,0.08331844382689843,0.5610559268964745,51,False
comm,Core3,0.25800522604353787,0.06755978095255499,51,False
comm,Core4,0.2627188857217969,0.06252688952074403,51,False
comm,CRT2+Core3,0.19501356041652174,0.17026372521692235,51,False
comm,CRT2+Core4,0.2025925466148105,0.15393604999697708,51,False
comm,CRT2+BCRT(all),0.16177012939372368,0.2567447874872344,51,False
comm,NFC,-0.04253826597574808,0.7669345585521452,51,False
conflict,CRT2,0.12225199283793935,0.3927604639157667,51,False
conflict,Core3,-0.18440496614452476,0.19517914130296288,51,False
conflict,Core4,-0.1784514456273243,0.21024588848252446,51,False
conflict,CRT2+Core3,-0.02917732700291094,0.83894330041282,51,False
conflict,CRT2+Core4,-0.03649394553634435,0.7993082174735813,51,False
conflict,CRT2+BCRT(all),0.01075716736857923,0.9402790294614867,51,False
conflict,NFC,0.06072621587738752,0.672067829072124,51,False
conj,CRT2,-0.212847690004232,0.1337190737047944,51,False
conj,Core3,0.10950850955079242,0.4442928698796278,51,False
conj,Core4,0.1471240146354563,0.30289373968978595,51,False
conj,CRT2+Core3,-0.06768928053401484,0.6369581427167375,51,False
conj,CRT2+Core4,-0.03326807263868101,0.8167277459555811,51,False
conj,CRT2+BCRT(all),-0.04703777640833019,0.7430850882104245,51,False
conj,NFC,0.018422163652845595,0.897903779684156,51,False
curiosity,CRT2,0.15962227498197085,0.26319858371789095,51,False
curiosity,Core3,-0.030369699260210832,0.8324542373589816,51,False
curiosity,Core4,-0.05061158764467256,0.7243098292587358,51,False
curiosity,CRT2+Core3,0.07975023751264461,0.5780067529780806,51,False
curiosity,CRT2+Core4,0.0602944219346185,0.6742690383535637,51,False
curiosity,CRT2+BCRT(all),0.0880263321842879,0.539054507198605,51,False
curiosity,NFC,0.06223188702059554,0.6644135753326923,51,False
death,CRT2,-0.2862600813644786,0.041704220729189334,51,True
death,Core3,-0.08328632857573937,0.5612074452017861,51,False
death,Core4,-0.03302549621334623,0.818041310770558,51,False
death,CRT2+Core3,-0.22017396262577515,0.12054364910358495,51,False
death,CRT2+Core4,-0.1813926508391264,0.20270364989184153,51,False
death,CRT2+BCRT(all),-0.1783346259348298,0.2105494621438604,51,False
death,NFC,-0.01951579099748395,0.8918779361586513,51,False
det,CRT2,-0.09018696274338855,0.5290994892712713,51,False
det,Core3,-0.06337765920703177,0.6586114970835055,51,False
det,Core4,-0.1058341180598569,0.4598164842736838,51,False
det,CRT2+Core3,-0.09016722009366912,0.5291900406391048,51,False
det,CRT2+Core4,-0.11362640273973963,0.4272454817590976,51,False
det,CRT2+BCRT(all),-0.11229150124091875,0.4327308824752114,51,False
det,NFC,-0.133348969142297,0.35088776234181474,51,False
differ,CRT2,0.03703788724292042,0.7963802275204412,51,False
differ,Core3,0.12946666013133615,0.36521407730545485,51,False
differ,Core4,0.07521255663849967,0.599893894735064,51,False
differ,CRT2+Core3,0.09496532068565716,0.5074102670091492,51,False
differ,CRT2+Core4,0.0654538906120405,0.6481484359411098,51,False
differ,CRT2+BCRT(all),0.06524789892455826,0.6491835589608157,51,False
differ,NFC,-0.1147640469177124,0.4226018021479181,51,False
discrep,CRT2,-0.027155357533169097,0.8499712227262914,51,False
discrep,Core3,0.08494208411599023,0.5534207799186484,51,False
discrep,Core4,-0.003232988961591048,0.9820364928262864,51,False
discrep,CRT2+Core3,0.031114541147658936,0.828406277886018,51,False
discrep,CRT2+Core4,-0.0172666133761074,0.9042770139739353,51,False
discrep,CRT2+BCRT(all),-0.013608448079858344,0.9244905360318436,51,False
discrep,NFC,0.14479265463874985,0.31070384769673565,51,False
emo_anger,CRT2,0.013515019818212395,0.9250074561990063,51,False
emo_anger,Core3,-0.08267238663525908,0.5641076781135492,51,False
emo_anger,Core4,-0.10906780909325615,0.44613930291420445,51,False
emo_anger,CRT2+Core3,-0.038111822480066976,0.7906075137003152,51,False
emo_anger,CRT2+Core4,-0.05690868471346986,0.6916213983841817,51,False
emo_anger,CRT2+BCRT(all),-0.09916198742044435,0.48874178915247324,51,False
emo_anger,NFC,-0.12543653430505466,0.3804543298947627,51,False
emo_anx,CRT2,-0.24171646397949276,0.08747901999101426,51,False
emo_anx,Core3,-0.08796923573476859,0.5393188048606947,51,False
emo_anx,Core4,-0.005977986502648643,0.9667909971475688,51,False
emo_anx,CRT2+Core3,-0.19579529550465516,0.16852369732728545,51,False
emo_anx,CRT2+Core4,-0.14020077351293364,0.3264597963525153,51,False
emo_anx,CRT2+BCRT(all),-0.1456401115955431,0.3078500838354137,51,False
emo_anx,NFC,-0.2453532947665748,0.08267539390489054,51,False
emo_neg,CRT2,-0.1739575206052444,0.22214622122576388,51,False
emo_neg,Core3,-0.14732072703139626,0.3022405877212031,51,False
emo_neg,Core4,-0.09559800812043741,0.5045727864288454,51,False
emo_neg,CRT2+Core3,-0.187963512007693,0.18654854745701765,51,False
emo_neg,CRT2+Core4,-0.15493093793949633,0.27766943503973374,51,False
emo_neg,CRT2+BCRT(all),-0.1791272634623966,0.20849569710547033,51,False
emo_neg,NFC,-0.1484237900970397,0.29859487848941857,51,False
emo_pos,CRT2,0.17725579828408103,0.21336748807957484,51,False
emo_pos,Core3,0.10142815342200971,0.47881223902482306,51,False
emo_pos,Core4,0.1008964335219136,0.48113241910679183,51,False
emo_pos,CRT2+Core3,0.16425867092032198,0.24940149319990446,51,False
emo_pos,CRT2+Core4,0.1599315141033881,0.262262768473841,51,False
emo_pos,CRT2+BCRT(all),0.1338429230146616,0.3490900935499375,51,False
emo_pos,NFC,-0.030842970164669494,0.82988166714412,51,False
emo_sad,CRT2,-0.21151208813093322,0.1362330634309099,51,False
emo_sad,Core3,-0.16629438149243084,0.2435012130197305,51,False
emo_sad,Core4,-0.180337129064249,0.20538806906459972,51,False
emo_sad,CRT2+Core3,-0.2213554629807645,0.11851446457960457,51,False
emo_sad,CRT2+Core4,-0.22631508181517884,0.11027863361484846,51,False
emo_sad,CRT2+BCRT(all),-0.17483781326673864,0.21977908650795097,51,False
emo_sad,NFC,-0.08093660413927477,0.5723450496998401,51,False
emotion,CRT2,-0.05913463473845569,0.6801947736783087,51,False
emotion,Core3,-0.0641119156304587,0.6549037112114993,51,False
emotion,Core4,-0.007576194921727931,0.9579197443512579,51,False
emotion,CRT2+Core3,-0.07175511068356151,0.616810379721084,51,False
emotion,CRT2+Core4,-0.03791765992899793,0.7916503795695897,51,False
emotion,CRT2+BCRT(all),-0.06877684538531505,0.6315425043848355,51,False
emotion,NFC,-0.1587593422850666,0.26582177777644533,51,False
ethnicity,CRT2,,,51,False
ethnicity,Core3,,,51,False
ethnicity,Core4,,,51,False
ethnicity,CRT2+Core3,,,51,False
ethnicity,CRT2+Core4,,,51,False
ethnicity,CRT2+BCRT(all),,,51,False
ethnicity,NFC,,,51,False
family,CRT2,-0.07433969767549925,0.6041453716792211,51,False
family,Core3,0.07920353729677028,0.5806243367953638,51,False
family,Core4,0.027138380860930008,0.8500639379348311,51,False
family,CRT2+Core3,-0.0007018881221385662,0.9960997837797603,51,False
family,CRT2+Core4,-0.025969157717851365,0.8564542193443823,51,False
family,CRT2+BCRT(all),0.0401506896487534,0.7796788199224578,51,False
family,NFC,-0.20607628414833903,0.1468304050190694,51,False
fatigue,CRT2,,,51,False
fatigue,Core3,,,51,False
fatigue,Core4,,,51,False
fatigue,CRT2+Core3,,,51,False
fatigue,CRT2+Core4,,,51,False
fatigue,CRT2+BCRT(all),,,51,False
fatigue,NFC,,,51,False
feeling,CRT2,-0.1441026934229809,0.3130397048598077,51,False
feeling,Core3,0.21304969560272036,0.13334188855553752,51,False
feeling,Core4,0.2906464102619713,0.038539224569907216,51,True
feeling,CRT2+Core3,0.031975593000575904,0.8237322608457873,51,False
feeling,CRT2+Core4,0.09054051550487308,0.5274791834159283,51,False
feeling,CRT2+BCRT(all),0.02829720452049392,0.8437398960206925,51,False
feeling,NFC,-0.3367406602932531,0.015682522193059656,51,True
female,CRT2,-0.07823089666587599,0.5852945594033621,51,False
female,Core3,0.021048819022620353,0.8834412614174463,51,False
female,Core4,-0.008296298384596586,0.9539242171045279,51,False
female,CRT2+Core3,-0.03563282567931583,0.8039491296112034,51,False
female,CRT2+Core4,-0.04914057616690267,0.7320191616675173,51,False
female,CRT2+BCRT(all),-0.033229478054128694,0.8169367045045017,51,False
female,NFC,-0.2508258713188154,0.07584027648509961,51,False
filler,CRT2,0.05743925100553217,0.6888915060475957,51,False
filler,Core3,0.10460761077257869,0.46506295994788105,51,False
filler,Core4,0.12504325016051274,0.38196156145486904,51,False
filler,CRT2+Core3,0.09340883299604331,0.514425209492031,51,False
filler,CRT2+Core4,0.10647993346060673,0.45706691925095466,51,False
filler,CRT2+BCRT(all),0.05819435523184273,0.6850130789546545,51,False
filler,NFC,0.09431900271399972,0.5103172384719024,51,False
focusfuture,CRT2,-0.00392997021055728,0.9781646988810324,51,False
focusfuture,Core3,-0.10300755215188201,0.471955530795759,51,False
focusfuture,Core4,-0.08560782444614866,0.5503044722404238,51,False
focusfuture,CRT2+Core3,-0.0600762847150312,0.6753820928306831,51,False
focusfuture,CRT2+Core4,-0.05288743565426733,0.7124359234552724,51,False
focusfuture,CRT2+BCRT(all),-0.014082574840674053,0.9218677666679451,51,False
focusfuture,NFC,-0.12115899922127336,0.3970374374456074,51,False
focuspast,CRT2,0.08376927660712054,0.5589309457513592,51,False
focuspast,Core3,-0.11142552945055968,0.4363103669151771,51,False
focuspast,Core4,-0.054851211049061696,0.7022441029574531,51,False
focuspast,CRT2+Core3,-0.01162944509747323,0.9354462405447357,51,False
focuspast,CRT2+Core4,0.014899145223349813,0.9173526163479402,51,False
focuspast,CRT2+BCRT(all),0.013179995103955686,0.9268613327460684,51,False
focuspast,NFC,0.3060507750212041,0.028950370437536455,51,True
focuspresent,CRT2,0.16840934350210243,0.23747265225168612,51,False
focuspresent,Core3,0.2758462672295408,0.050077986483848314,51,False
focuspresent,Core4,0.3430602796979084,0.013720396544541158,51,True
focuspresent,CRT2+Core3,0.2565868099677464,0.06913587634186547,51,False
focuspresent,CRT2+Core4,0.2982502910070948,0.033522133029600276,51,True
focuspresent,CRT2+BCRT(all),0.25165259394565465,0.07484774509767678,51,False
focuspresent,NFC,-0.1959658773212109,0.1681457321815294,51,False
food,CRT2,-0.08149955853026125,0.5696674209026722,51,False
food,Core3,-0.15381881402923447,0.2811753972424873,51,False
food,Core4,-0.1501450909252148,0.29296292531580637,51,False
food,CRT2+Core3,-0.1355567039756618,0.3428971060818653,51,False
food,CRT2+Core4,-0.13493934932537793,0.3451201170039657,51,False
food,CRT2+BCRT(all),-0.0452077515338848,0.7527576742966047,51,False
food,NFC,-0.1909544751963742,0.17950869091913635,51,False
friend,CRT2,-0.16797330861723392,0.23870710130952366,51,False
friend,Core3,-0.2579747176138093,0.06759337681077016,51,False
friend,Core4,-0.30564177013193766,0.02917642996350467,51,True
friend,CRT2+Core3,-0.24631272917597485,0.08144333314309904,51,False
friend,CRT2+Core4,-0.27585827451290246,0.05006759888947432,51,False
friend,CRT2+BCRT(all),-0.2213720887123143,0.11848609683810962,51,False
friend,NFC,-0.14327521220212855,0.315855870522993,51,False
fulfill,CRT2,0.09716129686941608,0.4975966619750374,51,False
fulfill,Core3,0.1498196584402525,0.29402238047187135,51,False
fulfill,Core4,0.11920531759300902,0.40474981729382,51,False
fulfill,CRT2+Core3,0.1428106612943223,0.3174439181905664,51,False
