dataset,family,base,set,predictor,beta,se,ci_lo,ci_hi,p_raw,model,n,z,p_adj,sig_adj
full,FunctionAnalytic,article,crt2_total,crt2_total,-0.013508051757500932,0.01698061955983705,-0.04679006609478155,0.01977396257977969,0.42632377599576077,binomial_cluster,477,-0.795498168361918,0.6907138211084941,False
full,FunctionAnalytic,article,bcrt_core3,bcrt_core3_total,-0.024924717408776897,0.018794879273613598,-0.061762680785059546,0.011913245967505755,0.18479198606077918,binomial_cluster,477,-1.32614405476757,0.43118130080848477,False
full,FunctionAnalytic,article,bcrt_core4,bcrt_core4_total,-0.025318014721716943,0.015597940556335108,-0.055889978212133755,0.005253948768699869,0.10455436312750703,binomial_cluster,477,-1.623163944642296,0.24396018063084976,False
full,FunctionAnalytic,article,crt2_plus_core3,crt2_plus_core3_total,-0.015187572249404811,0.010815777436950958,-0.03638649602582869,0.006011351527019067,0.16025771723529003,binomial_cluster,477,-1.404205323005083,0.5563400349813845,False
full,FunctionAnalytic,article,crt2_plus_core4,crt2_plus_core4_total,-0.015722413406916585,0.009604816996587471,-0.034547854720228026,0.0031030279063948563,0.10164508969960362,binomial_cluster,477,-1.6369300333887316,0.25660102539157326,False
full,FunctionAnalytic,prep,crt2_total,crt2_total,0.009185500369112592,0.012160224728444084,-0.01464854009863781,0.033019540836862996,0.4500254586958262,binomial_cluster,477,0.7553725835038814,0.6907138211084941,False
full,FunctionAnalytic,prep,bcrt_core3,bcrt_core3_total,0.005368149739457064,0.012566231903119156,-0.019261664790656483,0.02999796426957061,0.6692420378480706,binomial_cluster,477,0.4271884985764584,0.8050062063992598,False
full,FunctionAnalytic,prep,bcrt_core4,bcrt_core4_total,-0.005523962478928522,0.009412447156230536,-0.02397235890514037,0.012924433947283327,0.5572853381624943,binomial_cluster,477,-0.5868784586240099,0.9738318217470004,False
full,FunctionAnalytic,prep,crt2_plus_core3,crt2_plus_core3_total,0.0058512123820282464,0.007648207126653851,-0.0091392735862133,0.020841698350269795,0.4442455460947923,binomial_cluster,477,0.7650436612309944,0.6219437645327093,False
full,FunctionAnalytic,prep,crt2_plus_core4,crt2_plus_core4_total,0.0004945688493044012,0.00636625133821344,-0.01198328377359394,0.012972421472202744,0.9380777998601921,binomial_cluster,477,0.07768603893090907,0.9714450822081623,False
full,FunctionAnalytic,i,crt2_total,crt2_total,0.01633673557569309,0.017945363519802318,-0.018836176923119452,0.05150964807450563,0.3626328487823096,binomial_cluster,477,0.910359690271298,0.6907138211084941,False
full,FunctionAnalytic,i,bcrt_core3,bcrt_core3_total,-0.010225186652955177,0.015659383074861408,-0.04091757747968354,0.020467204173773183,0.5137723549913,binomial_cluster,477,-0.6529750631983741,0.8050062063992598,False
full,FunctionAnalytic,i,bcrt_core4,bcrt_core4_total,0.00037771132860481944,0.012359946731597403,-0.023847784265326088,0.024603206922535727,0.9756210003275169,binomial_cluster,477,0.03055930068365302,0.9756210003275169,False
full,FunctionAnalytic,i,crt2_plus_core3,crt2_plus_core3_total,0.002766333088554809,0.009730536367086673,-0.01630551819093507,0.02183818436804469,0.7761850852101894,binomial_cluster,477,0.2842939982128704,0.7761850852101894,False
full,FunctionAnalytic,i,crt2_plus_core4,crt2_plus_core4_total,0.005435945333829501,0.008572944996154424,-0.01136702685863317,0.02223891752629217,0.5260276726455813,binomial_cluster,477,0.6340814429893006,0.7364387417038138,False
full,FunctionAnalytic,ipron,crt2_total,crt2_total,0.00829952113499176,0.021073402442458804,-0.0330043476522275,0.049603389922211014,0.6937001403680931,binomial_cluster,477,0.39383868635611685,0.6937001403680931,False
full,FunctionAnalytic,ipron,bcrt_core3,bcrt_core3_total,0.005724549703690314,0.02318820012974262,-0.039724322550605214,0.05117342195798585,0.8050062063992598,binomial_cluster,477,0.24687339559173688,0.8050062063992598,False
full,FunctionAnalytic,ipron,bcrt_core4,bcrt_core4_total,-0.00692659442156145,0.0177026357197987,-0.0416237604323669,0.027770571589244005,0.6955941583907146,binomial_cluster,477,-0.39127475316089333,0.9738318217470004,False
full,FunctionAnalytic,ipron,crt2_plus_core3,crt2_plus_core3_total,0.005633521762645978,0.013422331822614852,-0.020674248609679133,0.031941292134971086,0.6746954206935931,binomial_cluster,477,0.4197125981607935,0.7761850852101894,False
full,FunctionAnalytic,ipron,crt2_plus_core4,crt2_plus_core4_total,-0.0004144579168661796,0.011578354647474358,-0.023108033025915922,0.022279117192183562,0.9714450822081623,binomial_cluster,477,-0.03579592519707343,0.9714450822081623,False
full,FunctionAnalytic,auxverb,crt2_total,crt2_total,0.005759910563920401,0.014339217460542729,-0.022344955658743348,0.03386477678658415,0.6879126827238999,binomial_cluster,477,0.4016893236865935,0.6937001403680931,False
full,FunctionAnalytic,auxverb,bcrt_core3,bcrt_core3_total,-0.027235620818773437,0.012341457127492598,-0.051424876788658924,-0.0030463648488879454,0.027325241858636353,binomial_cluster,477,-2.206839965282679,0.09563834650522723,False
