dataset,base,set,predictor,beta,se,ci_lo,ci_hi,p_raw,model,n,z,p_adj,sig_adj
full,insight,crt2_total,crt2_total,-0.024299109859240192,0.021183418919567574,-0.06581861094159264,0.017220391223112252,0.25134790176964916,binomial_cluster,477,-1.1470815901579792,0.6429908724678939,False
full,emo_neg,crt2_total,crt2_total,-0.03605295544443686,0.03636608644120931,-0.10733048486920711,0.03522457398033339,0.32149543623394694,binomial_cluster,477,-0.9913894777410632,0.6429908724678939,False
full,emo_pos,crt2_total,crt2_total,0.015927976699964284,0.061005141634182296,-0.10364210090303302,0.13549805430296158,0.794021279464701,binomial_cluster,477,0.2610923648940362,0.794021279464701,False
full,moral,crt2_total,crt2_total,-0.02522777892816776,0.07144691776192906,-0.16526373774154873,0.1148081798852132,0.7240148131421456,binomial_cluster,477,-0.3530982121892253,0.794021279464701,False
full,insight,bcrt_core3,bcrt_core3_total,0.010539586477134787,0.021623832714824667,-0.03184312564392156,0.052922298598191135,0.6259706204939512,binomial_cluster,477,0.48740603093498563,0.6991778668103713,False
full,emo_neg,bcrt_core3,bcrt_core3_total,0.013870991296395203,0.03589517744658875,-0.05648355649891876,0.08422553909170916,0.6991778668103713,binomial_cluster,477,0.3864304979975357,0.6991778668103713,False
full,emo_pos,bcrt_core3,bcrt_core3_total,0.04449276427393196,0.06048037288571038,-0.07404876658206039,0.1630342951299243,0.46193992144170515,binomial_cluster,477,0.7356562493093393,0.6991778668103713,False
full,moral,bcrt_core3,bcrt_core3_total,0.06916651809100627,0.06713551899444659,-0.06241909913810903,0.20075213532012157,0.3028916177077161,binomial_cluster,477,1.030252229028388,0.6991778668103713,False
full,insight,bcrt_core4,bcrt_core4_total,0.003270864677740675,0.016564024347157678,-0.029194623042688377,0.035736352398169725,0.8434613245645798,binomial_cluster,477,0.19746799504686446,0.8434613245645798,False
full,emo_neg,bcrt_core4,bcrt_core4_total,0.031054216182696607,0.02765904300218618,-0.023157508101588304,0.08526594046698152,0.2615432920972163,binomial_cluster,477,1.1227509274359952,0.5812715388599501,False
full,emo_pos,bcrt_core4,bcrt_core4_total,0.030854693133694155,0.05063715935803481,-0.06839413920805407,0.13010352547544238,0.5423063433413448,binomial_cluster,477,0.6093290683139063,0.7230751244551263,False
full,moral,bcrt_core4,bcrt_core4_total,0.05586799318604524,0.052868852083475304,-0.047754956897566356,0.15949094326965685,0.29063576942997504,binomial_cluster,477,1.0567279406376093,0.5812715388599501,False
full,insight,crt2_plus_core3,crt2_plus_core3_total,-0.006047685808724744,0.014287776311189975,-0.034051727378657096,0.021956355761207608,0.6720932387045065,binomial_cluster,477,-0.4232769100667041,0.7102062436529291,False
full,emo_neg,crt2_plus_core3,crt2_plus_core3_total,-0.009668685440842104,0.022806426575784102,-0.05436928152937894,0.03503191064769474,0.6716054475728468,binomial_cluster,477,-0.4239456544721622,0.7102062436529291,False
full,emo_pos,crt2_plus_core3,crt2_plus_core3_total,0.02370811474741629,0.03949105924523089,-0.053694361373236264,0.10111059086806884,0.548278784463681,binomial_cluster,477,0.6003413228344687,0.7102062436529291,False
full,moral,crt2_plus_core3,crt2_plus_core3_total,0.016028963303923085,0.04313741756475218,-0.06852037512299118,0.10057830173083736,0.7102062436529291,binomial_cluster,477,0.37157911179691105,0.7102062436529291,False
full,insight,crt2_plus_core4,crt2_plus_core4_total,-0.0064782096506111695,0.012115540653445086,-0.030224669331363536,0.0172682500301412,0.5928556053721294,binomial_cluster,477,-0.534702481376188,0.8736266241899094,False
full,emo_neg,crt2_plus_core4,crt2_plus_core4_total,0.002155306375367492,0.019499686091792437,-0.036064078364545685,0.040374691115280664,0.9119888121379969,binomial_cluster,477,0.11053031137125209,0.9119888121379969,False
full,emo_pos,crt2_plus_core4,crt2_plus_core4_total,0.01897456365559555,0.035271614879614464,-0.0501578015084488,0.0881069288196399,0.5906076840092698,binomial_cluster,477,0.5379556258015865,0.8736266241899094,False
full,moral,crt2_plus_core4,crt2_plus_core4_total,0.016904805052331086,0.03785881011166167,-0.05729846276652579,0.09110807287118797,0.6552199681424321,binomial_cluster,477,0.4465223550996889,0.8736266241899094,False
