dataset,base,set,predictor,beta,se,ci_lo,ci_hi,p_raw,model,n,z,p_adj,sig_adj
naive,insight,crt2_total,crt2_total,-0.0574880543775137,0.05051206824486107,-0.1564917081374414,0.04151559938241399,0.25507650047092834,binomial_cluster,103,-1.138105335517762,0.485900101515414,False
naive,emo_neg,crt2_total,crt2_total,-0.08514571749354247,0.09387978221470038,-0.26915009063435524,0.09885865564727028,0.3644250761365605,binomial_cluster,103,-0.9069654347814383,0.485900101515414,False
naive,emo_pos,crt2_total,crt2_total,0.16827001707768113,0.12244989971457683,-0.07173178636288946,0.4082718205182517,0.16938121053894728,binomial_cluster,103,1.37419481330657,0.485900101515414,False
naive,moral,crt2_total,crt2_total,-0.008081982883490381,0.11111958533315341,-0.22587637013647108,0.20971240436949032,0.9420191458764889,binomial_cluster,103,-0.07273229880456598,0.9420191458764889,False
naive,insight,bcrt_core3,bcrt_core3_total,-0.06153158996870748,0.05983480604040313,-0.17880780980789762,0.055744629870482655,0.3037815477952751,binomial_cluster,103,-1.028357807780953,0.5334756027858865,False
naive,emo_neg,bcrt_core3,bcrt_core3_total,-0.11268315538752659,0.0783978189682915,-0.2663428805653779,0.040976569790324754,0.15062563137600046,binomial_cluster,103,-1.4373251306021921,0.5334756027858865,False
naive,emo_pos,bcrt_core3,bcrt_core3_total,0.0891242145100715,0.14312331871357512,-0.1913974901685357,0.36964591918867873,0.5334756027858865,binomial_cluster,103,0.6227092503942766,0.5334756027858865,False
naive,moral,bcrt_core3,bcrt_core3_total,-0.09236994937631435,0.1289825836720807,-0.3451758133735925,0.16043591462096382,0.47390317461619413,binomial_cluster,103,-0.7161428058469614,0.5334756027858865,False
naive,insight,bcrt_core4,bcrt_core4_total,-0.03872190028673962,0.04719220500273422,-0.13121862209209867,0.05377482151861944,0.41192272421218035,binomial_cluster,103,-0.8205147499358455,0.5763773565828108,False
naive,emo_neg,bcrt_core4,bcrt_core4_total,-0.05341479970193194,0.07008094596598705,-0.19077345379526656,0.08394385439140267,0.4459482868401068,binomial_cluster,103,-0.7621871960440743,0.5763773565828108,False
naive,emo_pos,bcrt_core4,bcrt_core4_total,0.08790741543785573,0.12922219150049294,-0.16536807990311042,0.3411829107788219,0.4963264851760867,binomial_cluster,103,0.680281106651255,0.5763773565828108,False
naive,moral,bcrt_core4,bcrt_core4_total,-0.06361123788613775,0.11385905182773169,-0.28677497946849184,0.15955250369621637,0.5763773565828108,binomial_cluster,103,-0.5586840647714273,0.5763773565828108,False
naive,insight,crt2_plus_core3,crt2_plus_core3_total,-0.03981669508618021,0.03368680495260034,-0.10584283279327686,0.02620944262091645,0.23721875628155975,binomial_cluster,103,-1.181967097865323,0.3404209087914201,False
naive,emo_neg,crt2_plus_core3,crt2_plus_core3_total,-0.06555572998208486,0.04902048385460793,-0.1616358783371164,0.03052441837294667,0.18112049159460364,binomial_cluster,103,-1.3373129930034875,0.3404209087914201,False
naive,emo_pos,crt2_plus_core3,crt2_plus_core3_total,0.08710577149286929,0.07657430415829738,-0.0629798646573936,0.23719140764313218,0.2553156815935651,binomial_cluster,103,1.1375326547244993,0.3404209087914201,False
naive,moral,crt2_plus_core3,crt2_plus_core3_total,-0.030883471006610784,0.06763445830769453,-0.16344700928969208,0.1016800672764705,0.6479418134005842,binomial_cluster,103,-0.4566233215931188,0.6479418134005842,False
naive,insight,crt2_plus_core4,crt2_plus_core4_total,-0.03144625909778617,0.029564628569406202,-0.08939293109382232,0.026500412898249982,0.28748970596735657,binomial_cluster,103,-1.063644653067859,0.4378528339319477,False
naive,emo_neg,crt2_plus_core4,crt2_plus_core4_total,-0.04539229140151362,0.04644365055272106,-0.1364218464848469,0.04563726368181965,0.3283896254489608,binomial_cluster,103,-0.9773626935287102,0.4378528339319477,False
naive,emo_pos,crt2_plus_core4,crt2_plus_core4_total,0.08075540394567754,0.07391195694213248,-0.06411203166090212,0.2256228395522572,0.27457421834301277,binomial_cluster,103,1.092589173479779,0.4378528339319477,False
naive,moral,crt2_plus_core4,crt2_plus_core4_total,-0.024804599116850734,0.06362933237519783,-0.14951809057223847,0.099908892338537,0.6966625318929118,binomial_cluster,103,-0.38982963031243995,0.6966625318929118,False
