sample,label,k,n,KR20,KR20_lo,KR20_hi,Delta_from_base
full,CRT-2,4,240,0.4158421762177631,0.29225709480801443,0.5170199197799498,
full,BCRT-6,6,240,0.542994566977827,0.43395299096179224,0.6277805311069614,
full,Combined-10,10,240,0.5959301094708116,0.5069708715340769,0.6601884719339287,
full,BCRT-4,4,240,0.5050726070975287,0.3837324386081899,0.5912446706030021,
full,Combined-8,8,240,0.5605733273682862,0.4636451059721636,0.6322612358392398,
full,Combined-10 minus crt2_q1,9,240,0.5743631683526011,,,-0.021566941118210448
full,Combined-10 minus crt2_q2,9,240,0.6036210529258665,,,0.007690943455054944
full,Combined-10 minus crt2_q3,9,240,0.5844193498769483,,,-0.011510759593863273
full,Combined-10 minus crt2_q4,9,240,0.5454215549507462,,,-0.05050855452006542
full,Combined-10 minus bcrt_q1,9,240,0.5680558499858261,,,-0.027874259484985453
full,Combined-10 minus bcrt_q2,9,240,0.5768235105856538,,,-0.019106598885157755
full,Combined-10 minus bcrt_q3,9,240,0.5410996676329081,,,-0.05483044183790353
full,Combined-10 minus bcrt_q4,9,240,0.546957505344476,,,-0.04897260412633564
full,Combined-10 minus bcrt_q5,9,240,0.5754956338840972,,,-0.020434475586714407
full,Combined-10 minus bcrt_q6,9,240,0.5826247608108625,,,-0.013305348659949146
full,Combined-8 minus bcrt_q3,7,240,0.4998668200870918,,,-0.06070650728119442
full,Combined-8 minus bcrt_q2,7,240,0.5367232101228829,,,-0.023850117245403313
full,Combined-8 minus bcrt_q4,7,240,0.5089599787685769,,,-0.05161334859970934
full,Combined-8 minus bcrt_q5,7,240,0.5280347485468786,,,-0.03253857882140765
naive,CRT-2,4,52,0.44689958449332395,0.08586754806899378,0.6351719895327564,
naive,BCRT-6,6,52,0.449234826966553,0.06120300403987371,0.6428486864172394,
naive,Combined-10,10,52,0.6430258546504716,0.4369061953260148,0.7665393369154053,
naive,BCRT-4,4,52,0.39758264628191864,-0.03250055601453961,0.6313170293414548,
naive,Combined-8,8,52,0.6349051386250509,0.42497934121699354,0.7546013618383252,
