item,family,n_naive,p_naive,r_itemrest_crt2,r_itemrest_bcrt,r_itemrest_comb,pct_intuitive_errors,p_unseen,p_seen,exposure_delta_p,z_p_naive,z_r_itemrest_comb,z_r_itemrest_crt2,z_pct_intuitive_errors,penalty,utility
crt2_q3,CRT2,52,0.7692307692307693,0.3853373177942263,0.3357984706804494,0.4019844483264888,0.9166666666666666,0.725,0.88125,0.15625,1.705045156762837,0.7437187865319288,1.3574202507001063,1.1966083974651784,-1.0,4.00279259146005
crt2_q2,CRT2,52,0.5961538461538461,0.282366171607616,0.2808112816145091,0.3179723502304147,1.0,0.743421052631579,0.7386363636363636,-0.0047846889952153,0.8572326478752385,0.037200911105378445,0.17873564421136617,1.4930087702688497,0.0,2.5661779734608325
bcrt_q2,BCRT,52,0.6153846153846154,0.3854312157066193,0.1440138551220387,0.2989075796047841,0.25,0.6558441558441559,0.8255813953488372,0.1697372395046813,0.9514340377516385,-0.12312839316353238,1.358495076299488,-1.1745945849641897,-2.0,-0.9877938640765958
crt2_q4,CRT2,52,0.1153846153846153,0.2276357501822601,0.5948568928554345,0.5288163929546185,0.8043478260869565,0.146067415730337,0.2419354838709677,0.0958680681406306,-1.4978020990347578,1.810339405295782,-0.44774961529812735,0.7971122428167525,-2.0,-1.3381000662203506
bcrt_q3,BCRT,52,0.3076923076923077,0.3791948293655144,0.4338458507606382,0.4688519206813331,0.5,0.3151515151515151,0.5333333333333333,0.2181818181818182,-0.5557882002707589,1.3060552306148063,1.287108742820636,-0.28539346655317654,-4.0,-2.248017693388493
bcrt_q6,BCRT,52,0.4615384615384615,0.2006092541465236,0.3523079615466449,0.3149152005334578,0.4285714285714285,0.4397905759162304,0.5918367346938775,0.1520461587776471,0.19782291874043947,0.011491150752948225,-0.7571150640124766,-0.5394509289563234,-2.0,-3.0872519234754123
crt2_q1,CRT2,52,0.5384615384615384,0.1103056021687609,0.2096742471377923,0.1942458142848382,0.9166666666666666,0.5578947368421052,0.8,0.2421052631578948,0.5746284782460388,-1.0033041029485483,-1.7907980755913657,1.1966083974651784,-5.0,-6.022865302828697
bcrt_q1,BCRT,52,0.4038461538461538,0.2059423227616777,0.04378516494255,0.1347051078160489,0.2580645161290322,0.4193548387096774,0.4444444444444444,0.0250896057347669,-0.0847812508887601,-1.5040245276142745,-0.6960687795451902,-1.1459106779186734,-3.0,-6.430785235966898
bcrt_q4,BCRT,52,0.1346153846153846,0.257399889595421,0.2468704923586638,0.2880848430129491,0.3333333333333333,0.1288659793814432,0.3043478260869565,0.1754818467055132,-1.4036007091583573,-0.2141445329392601,-0.10704705685424118,-0.8781942121605186,-4.0,-6.602986511112377
bcrt_q5,BCRT,52,0.2692307692307692,0.2332939948728114,0.1039181903922863,0.1870042111724999,0.3947368421052631,0.3197674418604651,0.4264705882352941,0.1067031463748289,-0.7441909800235588,-1.0642039276352337,-0.3829811227301898,-0.659793937463077,-4.0,-6.851169967852059
